AL, D0, 2010102112, 03, CEMN,  30, 126N,  251W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, CEMN,  36, 134N,  259W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, CEMN,  42, 143N,  269W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, CEMN,  48, 151N,  279W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, CEMN,  54, 163N,  287W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, CEMN,  60, 172N,  295W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, CEMN,  66, 179N,  304W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, CEMN,  72, 185N,  316W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, CEMN,  78, 192N,  326W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, CEMN,  84, 200N,  331W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, CEMN,  90, 207N,  338W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, CEMN,  96, 214N,  345W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, CEMN, 102, 222N,  353W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, CEMN, 108, 228N,  359W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, CEMN, 114, 234N,  367W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, CEMN, 120, 242N,  370W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, CEMN, 126, 250N,  374W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, CEMN, 132, 260N,  377W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, CEMN, 138, 270N,  382W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, CEMN, 144, 280N,  381W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, CEMN, 150, 290N,  381W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, CLIP,  12, 102N,  247W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, CLIP,  24, 105N,  273W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, CLIP,  36, 107N,  302W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, CLIP,  48, 110N,  332W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, CLIP,  72, 115N,  390W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, CLP5,  12, 102N,  247W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, CLP5,  24, 107N,  269W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, CLP5,  36, 112N,  291W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, CLP5,  48, 119N,  310W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, CLP5,  60, 120N,  330W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, CLP5,  72, 120N,  348W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, CLP5,  84, 128N,  371W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, CLP5,  96, 139N,  395W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, CLP5, 108, 152N,  421W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, CLP5, 120, 164N,  444W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, DSHP,   0, 100N,  225W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, DSHP,  12, 109N,  244W,  24,    0,   ,   0,    ,    0,    0,    0,    0, 
