AL, B8, 2010083100, 03, LGEM,  12, 107N,  292W,  21,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, LGEM,  24, 112N,  315W,  24,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, LGEM,  36, 117N,  338W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, LGEM,  48, 122N,  357W,  31,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, LGEM,  60, 126N,  373W,  36,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, LGEM,  72, 129N,  387W,  40,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, LGEM,  84, 134N,  402W,  44,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, LGEM,  96, 140N,  419W,  47,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, LGEM, 108, 146N,  439W,  51,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, LGEM, 120, 152N,  460W,  57,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, SHF5,   0,   0N,    0W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, SHF5,  12,   0N,    0W,  22,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, SHF5,  24,   0N,    0W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, SHF5,  36,   0N,    0W,  29,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, SHF5,  48,   0N,    0W,  33,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, SHF5,  60,   0N,    0W,  39,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, SHF5,  72,   0N,    0W,  43,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, SHF5,  84,   0N,    0W,  50,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, SHF5,  96,   0N,    0W,  55,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, SHF5, 108,   0N,    0W,  55,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, SHF5, 120,   0N,    0W,  55,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, SHFR,  12,   0N,    0W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, SHFR,  24,   0N,    0W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, SHFR,  36,   0N,    0W,  21,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, SHFR,  48,   0N,    0W,  23,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, SHFR,  60,   0N,    0W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, SHFR,  72,   0N,    0W,  26,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, SHIP,   0, 103N,  266W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, SHIP,  12, 107N,  292W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, SHIP,  24, 112N,  315W,  31,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, SHIP,  36, 117N,  338W,  40,    0,   ,   0,    ,    0,    0,    0,    0, 
