EP, A5, 2010062100, 01, CARQ,   0,  79N,  899W,  20, 1009, LO,  34, NEQ,    0,    0,    0,    0, 1011,  175,  75,   0,   0,   E,   0,   X, 275,   9,     INVEST, M, 
EP, A5, 2010062100, 01, CARQ,   0,  79N,  899W,  20, 1009, LO,  50, NEQ,    0,    0,    0,    0, 1011,  175,  75,   0,   0,   E,   0,   X, 275,   9,     INVEST, M, 
EP, A5, 2010062100, 01, CARQ,   0,  79N,  899W,  20, 1009, LO,  64, NEQ,    0,    0,    0,    0, 1011,  175,  75,   0,   0,   E,   0,   X, 275,   9,     INVEST, M, 
EP, A5, 2010062100, 03,  EMX,   0,  83N,  900W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03,  EMX,  12,  89N,  899W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03,  EMX,  24,  90N,  909W,  21, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03,  EMX,  36,  92N,  912W,  20, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03,  EMX,  48, 100N,  922W,  19, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03,  EMX,  60, 110N,  938W,  21, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03,  EMX,  72, 119N,  957W,  23, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03,  EMX,  84, 120N,  970W,  25, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03,  EMX,  96, 124N,  981W,  23, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03,  EMX, 108, 129N,  990W,  26, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03,  EMX, 120, 131N,  997W,  21, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03,  EMX, 132, 131N, 1002W,  28, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03,  EMX, 144, 134N, 1011W,  33, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03,  EMX, 156, 130N, 1010W,  28, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03,  EMX, 168, 131N, 1008W,  25, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03,  EMX, 180, 133N, 1000W,  26, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03,  EMX, 192, 139N,  994W,  24, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03,  EMX, 204, 137N,  983W,  22, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03,  EMX, 216, 141N,  980W,  20, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03,  EMX, 228, 143N,  977W,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03,  EMX, 240, 149N,  979W,  18, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03,  NGX,   0,  87N,  903W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03,  NGX,  12,  93N,  907W,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03,  NGX,  24,  97N,  901W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03,  NGX,  36,  99N,  889W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03,  NGX,  48,  99N,  890W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03,  NGX,  60,  98N,  901W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03,  NGX,  72, 101N,  905W,  21, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03,  NGX,  84, 102N,  913W,  20, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03,  NGX,  96, 106N,  915W,  22, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03,  NGX, 108, 105N,  919W,  24, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03,  NGX, 120, 111N,  921W,  33, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03,  NGX, 132, 121N,  919W,  28, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03,  NGX, 144, 130N,  919W,  35, 1006, XX,  34, NEQ,    0,   83,    0,    0, 
EP, A5, 2010062100, 03,  UKX,   0,  89N,  911W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03,  UKX,  12,  89N,  909W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03,  UKX,  24, 100N,  909W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03,  UKX,  36, 101N,  914W,  16, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03,  UKX,  48, 109N,  923W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03,  UKX,  60, 111N,  937W,  13, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03,  UKX,  72, 112N,  950W,  14, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03, AEMN,   0,  80N,  902W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03, AP02,   0,  73N,  910W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03, AP02,   6,  84N,  920W,  10, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
