AL, D5, 2010122018, 03, CLIP,  24, 126N,  600W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, CLIP,  36, 126N,  625W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, CLIP,  48, 125N,  649W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, CLIP,  72, 116N,  692W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, CLP5,  12, 121N,  574W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, CLP5,  24, 128N,  595W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, CLP5,  36, 134N,  613W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, CLP5,  48, 144N,  625W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, CLP5,  60, 143N,  632W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, CLP5,  72, 143N,  637W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, CLP5,  84, 149N,  642W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, CLP5,  96, 159N,  658W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, CLP5, 108, 170N,  673W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, CLP5, 120, 178N,  686W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, DSHP,   0, 116N,  551W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, DSHP,  12, 120N,  565W,  26,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, DSHP,  24, 125N,  582W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, DSHP,  36, 130N,  596W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, DSHP,  48, 136N,  609W,  23,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, DSHP,  60, 141N,  619W,  18,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, DSHP,  72, 148N,  625W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, DSHP,  84, 159N,  623W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, DSHP,  96, 176N,  607W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, DSHP, 108, 200N,  552W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, DSHP, 120, 222N,  454W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, GFD5,   0, 110N,  553W,  39, 1006,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, GFDL,   0, 112N,  550W,  28, 1007,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, GFDT,   0, 112N,  549W,  28, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, GFDT,   6, 112N,  558W,  26, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, GFDT,  12, 109N,  572W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, GFDT,  18, 109N,  585W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, GFDT,  24, 111N,  597W,  20, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, HWRF,   0, 114N,  551W,  27, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, HWRF,   6, 115N,  559W,  28, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
