EP, A6, 2010071118, 03, BAMS,  36, 130N,  980W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, BAMS,  48, 130N,  993W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, BAMS,  60, 128N, 1007W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, BAMS,  72, 129N, 1024W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, BAMS,  84, 129N, 1039W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, BAMS,  96, 126N, 1057W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, BAMS, 108, 125N, 1069W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, BAMS, 120, 125N, 1070W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, BAMS, 132, 137N, 1061W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, BAMS, 144, 161N, 1064W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, BAMS, 156, 186N, 1081W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, BAMS, 168, 210N, 1110W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, CLIP,  12, 122N,  933W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, CLIP,  24, 128N,  941W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, CLIP,  36, 138N,  952W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, CLIP,  48, 145N,  969W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, CLIP,  60, 152N,  987W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, CLIP,  72, 161N, 1001W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, CLP5,  12, 123N,  934W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, CLP5,  24, 129N,  943W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, CLP5,  36, 135N,  952W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, CLP5,  48, 142N,  964W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, CLP5,  60, 150N,  974W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, CLP5,  72, 155N,  985W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, CLP5,  84, 162N,  997W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, CLP5,  96, 167N, 1009W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, CLP5, 108, 171N, 1022W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, CLP5, 120, 175N, 1032W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, DSHP,   0, 120N,  925W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, DSHP,  12, 124N,  949W,  22,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, DSHP,  24, 128N,  972W,  26,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, DSHP,  36, 131N,  992W,  33,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, DSHP,  48, 132N, 1011W,  39,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, DSHP,  60, 135N, 1031W,  45,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, DSHP,  72, 139N, 1053W,  49,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, DSHP,  84, 142N, 1076W,  51,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, DSHP,  96, 146N, 1101W,  52,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, DSHP, 108, 148N, 1126W,  53,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, DSHP, 120, 149N, 1151W,  53,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, GFD5,   0, 115N,  923W,  11, 1005,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, GFDL,   0, 116N,  922W,  11, 1005,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, GFDT,   0, 115N,  923W,   9, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, HWRF,   0, 119N,  924W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, HWRF,   6, 123N,  935W,  28, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, HWRF,  12, 126N,  947W,  32, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, HWRF,  18, 128N,  960W,  43, 1002, XX,  34, NEQ,   35,   34,    0,    0, 
EP, A6, 2010071118, 03, HWRF,  24, 131N,  970W,  35, 1001, XX,  34, NEQ,    0,    0,    0,   28, 
