AL, C4, 2010091812, 03,  NGX, 120, 143N,  390W,  29, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  NGX, 132, 150N,  402W,  26, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  NGX, 144, 155N,  417W,  26, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  UKX,   0, 126N,  270W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  UKX,  12, 133N,  288W,  15, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  UKX,  24, 138N,  304W,  17, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  UKX,  36, 149N,  312W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  UKX,  48, 152N,  322W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  UKX,  60, 158N,  327W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03,  UKX,  72, 167N,  326W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AC00,   0, 128N,  282W,  14, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AC00,   6, 130N,  291W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AC00,  12, 133N,  300W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AC00,  18, 140N,  308W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AC00,  24, 141N,  325W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AC00,  30, 144N,  329W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AC00,  36, 152N,  332W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AC00,  42, 157N,  335W,  22, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AC00,  48, 159N,  340W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AC00,  54, 157N,  344W,  19, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AC00,  60, 158N,  349W,  17, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AC00,  66, 154N,  350W,  16, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AC00,  72, 156N,  354W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AC00,  78, 158N,  360W,  17, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AC00,  84, 157N,  361W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AC00,  90, 158N,  367W,  18, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AC00,  96, 160N,  371W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AC00, 102, 161N,  386W,  16, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AC00, 108, 169N,  389W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AC00, 114, 170N,  399W,  15, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AC00, 120, 176N,  409W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AC00, 126, 174N,  426W,  14, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AC00, 132, 182N,  431W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AC00, 138, 177N,  442W,  16, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AC00, 144, 182N,  450W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AC00, 150, 179N,  460W,  15, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AC00, 156, 181N,  470W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AC00, 162, 183N,  483W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AC00, 168, 182N,  493W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AC00, 174, 187N,  502W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AC00, 180, 188N,  517W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AC00, 186, 190N,  528W,  20, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AC00, 192, 196N,  542W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AC00, 198, 201N,  552W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AC00, 204, 203N,  568W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AC00, 210, 206N,  581W,  23, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AC00, 216, 211N,  597W,  23, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AC00, 222, 217N,  613W,  22, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AC00, 228, 220N,  629W,  22, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AC00, 234, 229N,  640W,  23, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AC00, 240, 236N,  655W,  24, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AEMN,   0, 127N,  280W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
