EP, B2, 2010082000, 03, AP12,  72, 154N, 1130W,   8, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP12,  78, 154N, 1128W,   6, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP12,  84, 159N, 1139W,   9, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP12,  90, 152N, 1140W,   8, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP12,  96, 152N, 1129W,   7, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP12, 102, 148N, 1132W,   9, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP12, 108, 154N, 1141W,   9, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP12, 114, 151N, 1143W,   8, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP13,   0, 177N, 1068W,  22, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP13,   6, 186N, 1075W,  16, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP13,  12, 184N, 1083W,  17, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP13,  18, 183N, 1088W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP13,  24, 185N, 1090W,  16, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP13,  30, 186N, 1092W,  15, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP13,  36, 181N, 1092W,  14, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP13,  42, 183N, 1097W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP13,  48, 182N, 1094W,  16, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP13,  54, 182N, 1102W,  13, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP13,  60, 182N, 1099W,  14, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP13,  66, 180N, 1101W,  13, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP13,  72, 178N, 1104W,  13, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP13,  78, 175N, 1107W,  13, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP13,  84, 171N, 1107W,  12, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP13,  90, 169N, 1115W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP13,  96, 166N, 1117W,  12, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP13, 102, 157N, 1123W,  13, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
