EP, B3, 2010082106, 03, AP02, 186, 165N, 1087W,  19, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AP02, 192, 168N, 1089W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AP02, 198, 170N, 1091W,  18, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AP02, 204, 169N, 1091W,  15, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AP02, 210, 170N, 1091W,  15, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AP02, 216, 170N, 1098W,  16, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AP02, 222, 171N, 1092W,  15, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AP02, 228, 171N, 1093W,  15, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AP02, 234, 170N, 1097W,  14, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AP02, 240, 164N, 1099W,  12, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AP03,   0, 142N,  931W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AP03,   6, 138N,  931W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AP03,  12, 135N,  928W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AP04,   0, 141N,  936W,  20, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AP04,   6, 137N,  939W,  18, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AP04,  12, 139N,  938W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B3, 2010082106, 03, AP04,  18, 139N,  940W,  16, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
