EP, A0, 2010052518, 03, AP04,  24, 113N,  883W,  32, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP04,  30, 123N,  883W,  31, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP04,  36, 129N,  888W,  27, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP04,  42, 139N,  889W,  21, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP04,  48, 146N,  889W,  19, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP04,  54, 151N,  885W,  18, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP04,  60, 160N,  883W,  14, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP04,  66, 162N,  882W,  12, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP04,  72, 168N,  876W,  14, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP04,  78, 169N,  873W,  14, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP04,  84, 174N,  865W,  12, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP04,  90, 180N,  844W,  16, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP04,  96, 186N,  826W,  23, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP04, 102, 193N,  810W,  23, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP04, 108, 198N,  797W,  22, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP04, 114, 201N,  789W,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP04, 120, 206N,  781W,  17, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP04, 126, 204N,  773W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
