AL, F3, 2010110906, 03, AP18,  18, 160N,  693W,  16, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP19,   0, 146N,  694W,  16, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP19,   6, 156N,  690W,  16, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP19,  12, 160N,  685W,  15, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP20,   0, 148N,  698W,  17, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP20,   6, 148N,  700W,  17, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP20,  12, 141N,  701W,  14, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP20,  18, 142N,  699W,  16, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP20,  24, 149N,  694W,  16, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP20,  30, 157N,  698W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP20,  36, 171N,  701W,  12, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP20,  42, 171N,  696W,  12, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP20,  48, 175N,  697W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP20,  54, 179N,  684W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP20,  60, 181N,  682W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AP20,  66, 180N,  678W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AVNO,   0, 149N,  697W,  18, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AVNO,   6, 148N,  699W,  17, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AVNO,  12, 146N,  701W,  16, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AVNO,  18, 142N,  702W,  18, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AVNO,  24, 143N,  701W,  18, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AVNO,  30, 146N,  707W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AVNO,  36, 151N,  708W,  14, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AVNO,  42, 151N,  709W,  15, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AVNO,  48, 151N,  710W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, AVNO,  54, 146N,  712W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, BAMD,  12, 144N,  706W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, BAMD,  24, 154N,  715W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, BAMD,  36, 169N,  718W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, BAMD,  48, 186N,  701W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, BAMD,  60, 197N,  654W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, BAMD,  72, 214N,  581W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, BAMD,  84, 244N,  507W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, BAMD,  96, 274N,  441W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, BAMD, 108, 282N,  377W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, BAMD, 120, 267N,  344W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, BAMD, 132, 250N,  331W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, BAMD, 144, 238N,  324W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, BAMD, 156, 231N,  319W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
