EP, B8, 2010100712, 03, SHFR,  24,   0N,    0W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, SHFR,  36,   0N,    0W,  33,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, SHFR,  48,   0N,    0W,  38,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, SHFR,  60,   0N,    0W,  44,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, SHFR,  72,   0N,    0W,  50,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, SHIP,   0, 100N, 1154W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, SHIP,  12,  97N, 1176W,  17,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, SHIP,  24,  94N, 1197W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, SHIP,  36,  91N, 1219W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, SHIP,  48,  88N, 1243W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, SHIP,  60,  86N, 1269W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, SHIP,  72,  83N, 1294W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, SHIP,  84,  82N, 1316W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, SHIP,  96,  83N, 1336W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, SHIP, 108,  86N, 1353W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, SHIP, 120,  91N, 1368W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, XTRP,   0, 100N, 1154W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, XTRP,  12, 100N, 1179W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, XTRP,  24, 100N, 1205W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, XTRP,  36, 100N, 1231W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, XTRP,  48, 100N, 1257W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, XTRP,  60, 100N, 1283W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, XTRP,  72, 100N, 1309W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, XTRP,  84, 100N, 1335W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, XTRP,  96, 100N, 1361W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, XTRP, 108, 100N, 1387W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, XTRP, 120, 100N, 1413W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, XTRP, 132, 100N, 1439W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, XTRP, 144, 100N, 1465W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, XTRP, 156, 100N, 1491W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100712, 03, XTRP, 168, 100N, 1517W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 01, CARQ, -24, 100N, 1124W,  20,    0, LO,  34, AAA,    0,    0,    0,    0, 
EP, B8, 2010100718, 01, CARQ, -18, 100N, 1135W,  20,    0, LO,  34, AAA,    0,    0,    0,    0, 
EP, B8, 2010100718, 01, CARQ, -12, 100N, 1145W,  20,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X, 270,   9, 
EP, B8, 2010100718, 01, CARQ,  -6, 100N, 1154W,  20,    0, LO,  34, AAA,    0,    0,    0,    0, 
EP, B8, 2010100718, 01, CARQ,   0, 100N, 1162W,  25, 1008, LO,  34, NEQ,    0,    0,    0,    0, 1011,  150,  60,   0,   0,   E,   0,   X, 270,   8,     INVEST, D, 
EP, B8, 2010100718, 01, CARQ,   0, 100N, 1162W,  25, 1008, LO,  50, NEQ,    0,    0,    0,    0, 1011,  150,  60,   0,   0,   E,   0,   X, 270,   8,     INVEST, D, 
EP, B8, 2010100718, 01, CARQ,   0, 100N, 1162W,  25, 1008, LO,  64, NEQ,    0,    0,    0,    0, 1011,  150,  60,   0,   0,   E,   0,   X, 270,   8,     INVEST, D, 
EP, B8, 2010100718, 03, BAMD,  12, 101N, 1177W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, BAMD,  24, 102N, 1194W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, BAMD,  36, 103N, 1212W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, BAMD,  48, 102N, 1230W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, BAMD,  60, 101N, 1248W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, BAMD,  72, 100N, 1263W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
