AL, C8, 2010100900, 03, AP06,  96, 173N,  867W,  18, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C8, 2010100900, 03, AP06, 102, 159N,  880W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C8, 2010100900, 03, AP06, 108, 163N,  885W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C8, 2010100900, 03, AP06, 114, 159N,  888W,  11, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C8, 2010100900, 03, AP06, 120, 160N,  889W,  13, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C8, 2010100900, 03, AP06, 126, 172N,  888W,  14, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C8, 2010100900, 03, AP06, 132, 167N,  881W,  16, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C8, 2010100900, 03, AP06, 138, 157N,  883W,  15, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C8, 2010100900, 03, AP06, 144, 157N,  883W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C8, 2010100900, 03, AP06, 150, 160N,  882W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
