EP, C5, 2010090312, 03, SHFR,  48,   0N,    0W,  53,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, SHFR,  60,   0N,    0W,  57,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, SHFR,  72,   0N,    0W,  60,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, SHIP,   0, 153N,  943W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, SHIP,  12, 159N,  953W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, SHIP,  24, 166N,  966W,  36,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, SHIP,  36, 173N,  978W,  43,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, SHIP,  48, 179N,  987W,  51,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, SHIP,  60, 185N,  994W,  60,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, SHIP,  72, 190N, 1000W,  64,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, SHIP,  84, 198N, 1008W,  65,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, SHIP,  96, 205N, 1017W,  65,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, SHIP, 108, 213N, 1027W,  66,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, SHIP, 120, 218N, 1038W,  69,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, XTRP,   0, 153N,  943W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, XTRP,  12, 159N,  948W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, XTRP,  24, 165N,  954W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, XTRP,  36, 171N,  960W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, XTRP,  48, 177N,  966W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, XTRP,  60, 183N,  972W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, XTRP,  72, 189N,  978W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, XTRP,  84, 195N,  985W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, XTRP,  96, 201N,  991W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, XTRP, 108, 207N,  997W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, XTRP, 120, 213N, 1003W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, XTRP, 132, 219N, 1009W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, XTRP, 144, 225N, 1016W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, XTRP, 156, 231N, 1022W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090312, 03, XTRP, 168, 237N, 1028W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C5, 2010090318, 01, CARQ, -24, 144N,  937W,  25,    0, DB,  34, AAA,    0,    0,    0,    0, 
EP, C5, 2010090318, 01, CARQ, -18, 145N,  938W,  25,    0, DB,  34, AAA,    0,    0,    0,    0, 
EP, C5, 2010090318, 01, CARQ, -12, 147N,  939W,  25,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X, 327,   2, 
EP, C5, 2010090318, 01, CARQ,  -6, 148N,  940W,  25,    0, DB,  34, AAA,    0,    0,    0,    0, 
EP, C5, 2010090318, 01, CARQ,   0, 149N,  941W,  30, 1006, DB,  34, NEQ,    0,    0,    0,    0, 1009,  125,  45,   0,   0,   E,   0,   X, 325,   2,     INVEST, M, 
EP, C5, 2010090318, 01, CARQ,   0, 149N,  941W,  30, 1006, DB,  50, NEQ,    0,    0,    0,    0, 1009,  125,  45,   0,   0,   E,   0,   X, 325,   2,     INVEST, M, 
EP, C5, 2010090318, 01, CARQ,   0, 149N,  941W,  30, 1006, DB,  64, NEQ,    0,    0,    0,    0, 1009,  125,  45,   0,   0,   E,   0,   X, 325,   2,     INVEST, M, 
EP, C5, 2010090318, 03,  NAM,   0, 143N,  944W,  23, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090318, 03,  NAM,   6, 147N,  949W,  26, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090318, 03,  NAM,  12, 150N,  950W,  29, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090318, 03,  NAM,  18, 154N,  950W,  34, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090318, 03,  NAM,  24, 163N,  950W,  25, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090318, 03,  NAM,  30, 176N,  948W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090318, 03,  NAM,  36, 186N,  949W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090318, 03,  NAM,  42, 198N,  953W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090318, 03,  NAM,  48, 204N,  956W,  24, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090318, 03,  NAM,  54, 205N,  959W,  23, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090318, 03,  NAM,  60, 210N,  961W,  26, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090318, 03,  NAM,  66, 219N,  964W,  26, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090318, 03,  NAM,  72, 223N,  964W,  33, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090318, 03,  NAM,  78, 237N,  974W,  37, 1003, XX,  34, NEQ,   71,    0,    0,    0, 
EP, C5, 2010090318, 03,  NAM,  84, 237N,  978W,  33, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090318, 03, AC00,   0, 142N,  944W,  23, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090318, 03, AC00,   6, 145N,  948W,  26, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090318, 03, AC00,  12, 150N,  951W,  26, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090318, 03, AC00,  18, 157N,  957W,  23, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090318, 03, AC00,  24, 168N,  962W,  16, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090318, 03, AC00,  30, 182N,  959W,  19, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090318, 03, AC00,  36, 187N,  955W,  16, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090318, 03, AC00,  42, 191N,  954W,  15, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090318, 03, AC00,  48, 201N,  955W,  17, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090318, 03, AC00,  54, 209N,  960W,  18, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090318, 03, AC00,  60, 215N,  964W,  23, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090318, 03, AC00,  66, 221N,  969W,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090318, 03, AC00,  72, 225N,  971W,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090318, 03, AC00,  78, 230N,  973W,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090318, 03, AC00,  84, 236N,  976W,  24, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090318, 03, AC00,  90, 242N,  978W,  25, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090318, 03, AC00,  96, 258N,  982W,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090318, 03, AC00, 102, 269N,  982W,  24, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090318, 03, AC00, 108, 280N,  985W,  25, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090318, 03, AC00, 114, 298N,  986W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090318, 03, AC00, 120, 311N,  986W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090318, 03, AC00, 126, 324N,  987W,  13, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090318, 03, AC00, 132, 333N,  984W,  12, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090318, 03, AC00, 138, 352N,  975W,  14, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090318, 03, AC00, 144, 363N,  965W,  16, 1000, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090318, 03, AC00, 150, 379N,  951W,  14,  998, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090318, 03, AC00, 156, 396N,  933W,  12, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090318, 03, AC00, 162, 415N,  915W,  16, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C5, 2010090318, 03, AC00, 168, 423N,  889W,  15, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
