EP, A5, 2010062018, 03, GPCC,  12,   0N,    0W,  68,   32,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062118, 03, GPCC,  96,   0N,    0W,  68,  227,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062118, 03, GPCC, 120,   0N,    0W,  68,  335,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062200, 03, GPCC,  12,   0N,    0W,  68,   32,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062200, 03, GPCC,  24,   0N,    0W,  68,   64,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062200, 03, GPCC,  36,   0N,    0W,  68,   92,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062200, 03, GPCC,  48,   0N,    0W,  68,  119,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062200, 03, GPCC,  72,   0N,    0W,  68,  173,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062200, 03, GPCC,  96,   0N,    0W,  68,  227,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062200, 03, GPCC, 120,   0N,    0W,  68,  335,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062206, 03, GPCC,  12, 105N,  936W,  68,   32,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062206, 03, GPCC,  24, 112N,  949W,  68,   64,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062206, 03, GPCC,  36, 119N,  967W,  68,   92,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062206, 03, GPCC,  48, 127N,  983W,  68,  119,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062206, 03, GPCC,  72, 143N, 1001W,  68,  173,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062206, 03, GPCC,  96, 157N, 1003W,  68,  227,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062206, 03, GPCC, 120, 160N,  999W,  68,  335,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062206, 03, TVCN,  12, 105N,  936W,  68,   46,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062206, 03, TVCN,  24, 112N,  949W,  68,   85,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062206, 03, TVCN,  36, 119N,  967W,  68,  123,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062206, 03, TVCN,  48, 127N,  983W,  68,  163,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062206, 03, TVCN,  72, 143N, 1001W,  68,  189,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062206, 03, TVCN,  96, 157N, 1003W,  68,  239,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062206, 03, TVCN, 120, 160N,  999W,  68,  278,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062212, 03, GPCC,  12, 104N,  937W,  68,   32,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062212, 03, GPCC,  24, 108N,  953W,  68,   64,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062212, 03, GPCC,  36, 114N,  969W,  68,   92,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062212, 03, GPCC,  48, 120N,  983W,  68,  119,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062212, 03, GPCC,  72, 131N, 1004W,  68,  173,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062212, 03, GPCC,  96, 142N, 1002W,  68,  227,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062212, 03, GPCC, 120, 146N,  999W,  68,  335,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062212, 03, TVCN,  12, 104N,  937W,  68,   43,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062212, 03, TVCN,  24, 108N,  953W,  68,   71,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062212, 03, TVCN,  36, 114N,  969W,  68,  100,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062212, 03, TVCN,  48, 120N,  983W,  68,  128,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062212, 03, TVCN,  72, 131N, 1004W,  68,  154,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062212, 03, TVCN,  96, 142N, 1002W,  68,  208,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062212, 03, TVCN, 120, 146N,  999W,  68,  250,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062218, 03, GPCC,  12, 110N,  939W,  68,   32,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062218, 03, GPCC,  24, 116N,  956W,  68,   64,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062218, 03, GPCC,  36, 122N,  972W,  68,   92,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062218, 03, GPCC,  48, 127N,  986W,  68,  119,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062218, 03, GPCC,  72, 134N,  999W,  68,  173,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062218, 03, GPCC,  96, 140N,  994W,  68,  227,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062218, 03, GPCC, 120, 149N,  991W,  68,  335,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062218, 03, TVCN,  12, 110N,  939W,  68,   49,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062218, 03, TVCN,  24, 116N,  956W,  68,   82,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062218, 03, TVCN,  36, 122N,  972W,  68,  117,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062218, 03, TVCN,  48, 127N,  986W,  68,  156,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062218, 03, TVCN,  72, 134N,  999W,  68,  187,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062218, 03, TVCN,  96, 140N,  994W,  68,  223,   ,   0,    ,    0,    0,    0,    0, 
EP, A5, 2010062218, 03, TVCN, 120, 149N,  991W,  68,  270,   ,   0,    ,    0,    0,    0,    0, 
