AL, C3, 2010080600, 01, CARQ, -24, 115N,  367W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, C3, 2010080600, 03,  EMX, 228, 399N,  413W,  28, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03,  EMX, 240, 442N,  362W,  27, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03,  UKX,   0, 139N,  345W,  22, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03,  UKX,  12, 161N,  347W,  20, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03,  UKX,  24, 174N,  352W,  20, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03,  UKX,  36, 188N,  372W,  20, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03,  UKX,  48, 199N,  401W,  19, 1016, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03,  UKX,  60, 213N,  420W,  19, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03,  UKX,  72, 214N,  440W,  19, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AC00,   0, 129N,  364W,  18, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AC00,   6, 121N,  373W,  19, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AC00,  12, 110N,  382W,  21, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AC00,  18, 114N,  375W,  26, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AC00,  24, 123N,  373W,  28, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AC00,  30, 140N,  377W,  24, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AC00,  36, 158N,  396W,  22, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AC00,  42, 168N,  412W,  23, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AC00,  48, 193N,  428W,  27, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AC00,  54, 208N,  445W,  32, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AC00,  60, 216N,  462W,  31, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AC00,  66, 216N,  476W,  26, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AC00,  72, 219N,  482W,  21, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AC00,  78, 227N,  495W,  23, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AC00,  84, 235N,  506W,  23, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AC00,  90, 240N,  518W,  22, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AC00,  96, 243N,  529W,  20, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AC00, 102, 249N,  540W,  21, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AC00, 108, 255N,  551W,  22, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AC00, 114, 261N,  557W,  20, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AC00, 120, 266N,  564W,  19, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AC00, 126, 270N,  571W,  22, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AC00, 132, 274N,  575W,  21, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AC00, 138, 280N,  578W,  19, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AC00, 144, 284N,  576W,  18, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AC00, 150, 288N,  578W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AC00, 156, 290N,  581W,  24, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AC00, 162, 297N,  578W,  23, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AC00, 168, 300N,  572W,  20, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AC00, 174, 301N,  570W,  22, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AC00, 180, 307N,  566W,  25, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AC00, 186, 311N,  560W,  25, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AC00, 192, 316N,  551W,  24, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AC00, 198, 319N,  542W,  25, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AC00, 204, 321N,  535W,  27, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AC00, 210, 323N,  528W,  27, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AC00, 216, 322N,  521W,  23, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AC00, 222, 321N,  519W,  26, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AC00, 228, 319N,  519W,  26, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AC00, 234, 317N,  520W,  26, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AC00, 240, 311N,  521W,  25, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AEMN,   0, 127N,  355W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AEMN,   6, 133N,  356W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AEMN,  12, 138N,  360W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AEMN,  18, 146N,  364W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AEMN,  24, 155N,  374W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AEMN,  30, 163N,  386W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AEMN,  36, 172N,  399W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AEMN,  42, 181N,  412W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AEMN,  48, 188N,  426W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AEMN,  54, 194N,  440W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AEMN,  60, 206N,  454W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AEMN,  66, 214N,  468W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AEMN,  72, 221N,  480W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AEMN,  78, 228N,  494W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AEMN,  84, 233N,  507W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AEMN,  90, 240N,  516W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AEMN,  96, 244N,  524W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AEMN, 102, 250N,  534W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AEMN, 108, 258N,  543W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AEMN, 114, 264N,  550W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AEMN, 120, 268N,  554W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AEMN, 126, 271N,  561W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AEMN, 132, 276N,  565W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AEMN, 138, 282N,  566W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AEMN, 144, 285N,  564W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AEMN, 150, 287N,  566W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AEMN, 156, 292N,  565W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AEMN, 162, 296N,  563W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AEMN, 168, 299N,  559W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AEMN, 174, 301N,  555W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AEMN, 180, 301N,  550W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AEMN, 186, 310N,  546W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AEMN, 192, 314N,  538W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AEMN, 198, 320N,  535W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AEMN, 204, 329N,  531W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AEMN, 210, 338N,  527W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AEMN, 216, 344N,  525W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AEMN, 222, 351N,  523W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP01,   0, 129N,  357W,  20, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP01,   6, 125N,  364W,  20, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP01,  12, 113N,  381W,  22, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP01,  18, 117N,  374W,  26, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP01,  24, 127N,  373W,  27, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP01,  30, 142N,  375W,  27, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP01,  36, 152N,  384W,  30, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP01,  42, 167N,  396W,  28, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP01,  48, 178N,  410W,  29, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP01,  54, 188N,  424W,  30, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP01,  60, 199N,  443W,  29, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP01,  66, 209N,  460W,  30, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP01,  72, 216N,  475W,  30, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP01,  78, 225N,  488W,  29, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP01,  84, 231N,  501W,  30, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP01,  90, 239N,  510W,  27, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP01,  96, 244N,  518W,  26, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP01, 102, 254N,  526W,  27, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP01, 108, 262N,  535W,  29, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP01, 114, 269N,  543W,  28, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP01, 120, 273N,  550W,  26, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP01, 126, 279N,  558W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP01, 132, 283N,  565W,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP01, 138, 290N,  568W,  26, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP01, 144, 296N,  567W,  24, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP01, 150, 297N,  571W,  26, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP01, 156, 299N,  568W,  29, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP01, 162, 301N,  560W,  32, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP01, 168, 307N,  545W,  35, 1005, XX,  34, NEQ,    0,  131,    0,    0, 
AL, C3, 2010080600, 03, AP01, 174, 313N,  530W,  37, 1001, XX,  34, NEQ,    0,  170,    0,    0, 
AL, C3, 2010080600, 03, AP01, 180, 324N,  511W,  40, 1002, XX,  34, NEQ,    0,  197,    0,    0, 
AL, C3, 2010080600, 03, AP01, 186, 340N,  490W,  46,  999, XX,  34, NEQ,  149,  247,  240,    0, 
AL, C3, 2010080600, 03, AP01, 192, 358N,  463W,  46,  998, XX,  34, NEQ,  115,  251,    0,    0, 
AL, C3, 2010080600, 03, AP01, 198, 380N,  445W,  46,  993, XX,  34, NEQ,  133,  296,  212,  250, 
AL, C3, 2010080600, 03, AP01, 204, 409N,  429W,  51,  989, XX,  34, NEQ,  313,  640,  193,  250, 
AL, C3, 2010080600, 03, AP01, 204, 409N,  429W,  51,  989, XX,  50, NEQ,   90,    0,    0,    0, 
AL, C3, 2010080600, 03, AP01, 210, 438N,  419W,  57,  985, XX,  34, NEQ,  317,  346,  214,  254, 
AL, C3, 2010080600, 03, AP01, 210, 438N,  419W,  57,  985, XX,  50, NEQ,   81,    0,   85,   89, 
AL, C3, 2010080600, 03, AP01, 216, 460N,  416W,  57,  983, XX,  34, NEQ,  308,  640,  183,  243, 
AL, C3, 2010080600, 03, AP01, 216, 460N,  416W,  57,  983, XX,  50, NEQ,   90,    0,   85,   91, 
AL, C3, 2010080600, 03, AP01, 222, 474N,  422W,  55,  981, XX,  34, NEQ,  645,  348,  141,  283, 
AL, C3, 2010080600, 03, AP01, 222, 474N,  422W,  55,  981, XX,  50, NEQ,    0,   83,   89,  167, 
AL, C3, 2010080600, 03, AP01, 228, 480N,  426W,  51,  982, XX,  34, NEQ,  307,  160,  188,  306, 
AL, C3, 2010080600, 03, AP01, 228, 480N,  426W,  51,  982, XX,  50, NEQ,    0,   94,    0,  100, 
AL, C3, 2010080600, 03, AP01, 234, 489N,  433W,  52,  982, XX,  34, NEQ,  173,  199,  189,  306, 
AL, C3, 2010080600, 03, AP01, 234, 489N,  433W,  52,  982, XX,  50, NEQ,   95,  106,    0,    0, 
AL, C3, 2010080600, 03, AP01, 240, 494N,  440W,  43,  987, XX,  34, NEQ,  186,  199,    0,  117, 
AL, C3, 2010080600, 03, AP02,   0, 130N,  351W,  24, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP02,   6, 137N,  351W,  27, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP02,  12, 146N,  357W,  27, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP02,  18, 150N,  366W,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP03,   0, 124N,  343W,  20, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP03,   6, 138N,  341W,  25, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP03,  12, 144N,  344W,  27, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP03,  18, 157N,  354W,  24, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP03,  24, 167N,  370W,  23, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP03,  30, 171N,  389W,  26, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP03,  36, 182N,  407W,  28, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP03,  42, 190N,  421W,  27, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP03,  48, 193N,  436W,  27, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP03,  54, 199N,  450W,  28, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP03,  60, 207N,  468W,  28, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP03,  66, 211N,  484W,  27, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP03,  72, 218N,  496W,  27, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP03,  78, 225N,  512W,  26, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP03,  84, 231N,  530W,  23, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP03,  90, 238N,  541W,  24, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP03,  96, 241N,  548W,  21, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP03, 102, 250N,  557W,  22, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP03, 108, 255N,  569W,  23, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP03, 114, 263N,  577W,  21, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP03, 120, 267N,  581W,  23, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP03, 126, 268N,  587W,  20, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP03, 132, 271N,  590W,  25, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP03, 138, 279N,  587W,  20, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP03, 144, 285N,  580W,  22, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP03, 150, 292N,  577W,  23, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP03, 156, 306N,  566W,  24, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP03, 162, 313N,  558W,  27, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP03, 168, 318N,  547W,  25, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP03, 174, 320N,  539W,  26, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP03, 180, 321N,  529W,  26, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP03, 186, 328N,  521W,  26, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP03, 192, 334N,  514W,  23, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP03, 198, 337N,  509W,  25, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP03, 204, 336N,  504W,  25, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP03, 210, 340N,  494W,  23, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP03, 216, 345N,  486W,  21, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP03, 222, 353N,  480W,  23, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP03, 228, 359N,  473W,  26, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP03, 234, 362N,  463W,  25, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP03, 240, 363N,  453W,  25, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP04,   0, 129N,  348W,  19, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP04,   6, 142N,  339W,  21, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP04,  12, 148N,  344W,  24, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP04,  18, 152N,  354W,  23, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP04,  24, 157N,  368W,  24, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP04,  30, 164N,  384W,  25, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP04,  36, 172N,  398W,  29, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP04,  42, 179N,  413W,  28, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP04,  48, 188N,  430W,  29, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP04,  54, 190N,  449W,  29, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP04,  60, 198N,  461W,  28, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP04,  66, 203N,  480W,  30, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP04,  72, 210N,  491W,  29, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP04,  78, 214N,  506W,  29, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP04,  84, 221N,  520W,  26, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP04,  90, 229N,  531W,  25, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080600, 03, AP04,  96, 231N,  542W,  25, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
