AL, C1, 2010080106, 03, AP06,   0,  97N,  354W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP06,   6, 102N,  345W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP06,  12, 110N,  338W,  20, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP06,  18, 116N,  342W,  23, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP06,  24, 119N,  356W,  21, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP06,  30, 123N,  381W,  22, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP06,  36, 130N,  405W,  21, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP06,  42, 140N,  430W,  23, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP06,  48, 140N,  457W,  26, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP07,   0,  94N,  356W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP07,   6,  94N,  360W,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP07,  12,  90N,  376W,  14, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP07,  18,  89N,  382W,  10, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP07,  24,  83N,  395W,  12, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP08,   0, 100N,  344W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP08,   6,  99N,  350W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
