AL, B7, 2010082612, 03, CLIP,  72, 158N,  371W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, CLP5,  12, 119N,  216W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, CLP5,  24, 124N,  242W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, CLP5,  36, 130N,  268W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, CLP5,  48, 138N,  296W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, CLP5,  60, 142N,  325W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, CLP5,  72, 147N,  353W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, CLP5,  84, 157N,  383W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, CLP5,  96, 169N,  405W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, CLP5, 108, 183N,  428W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, CLP5, 120, 197N,  448W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, DSHP,   0, 115N,  190W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, DSHP,  12, 118N,  214W,  24,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, DSHP,  24, 125N,  241W,  31,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, DSHP,  36, 133N,  271W,  39,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, DSHP,  48, 143N,  303W,  49,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, DSHP,  60, 152N,  337W,  59,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, DSHP,  72, 162N,  374W,  65,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, DSHP,  84, 173N,  412W,  68,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, DSHP,  96, 186N,  451W,  70,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, DSHP, 108, 205N,  487W,  69,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, DSHP, 120, 230N,  520W,  68,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, EEMN,   0, 116N,  175W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, EEMN,  12, 129N,  196W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, EEMN,  24, 134N,  227W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, EEMN,  36, 137N,  252W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, EEMN,  48, 136N,  284W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, EEMN,  60, 137N,  314W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, EEMN,  72, 139N,  352W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, EEMN,  84, 141N,  391W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
