AL, A7, 2010071906, 03, DRCL,  36, 211N,  685W,  25,    0, DB,  34, NEQ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, DRCL,  48, 217N,  706W,  30,    0, DB,  34, NEQ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, DRCL,  72, 229N,  747W,  35,    0, DB,  34, NEQ,   37,    0,    0,   34, 
AL, A7, 2010071906, 03, DRCL,  96, 241N,  786W,  45,    0, DB,  34, NEQ,   65,   47,   43,   60, 
AL, A7, 2010071906, 03, DRCL, 120, 255N,  823W,  55,    0, DB,  34, NEQ,   95,   72,   67,   88, 
AL, A7, 2010071906, 03, DRCL, 120, 255N,  823W,  55,    0, DB,  50, NEQ,   41,    0,    0,   39, 
AL, A7, 2010071906, 03, DSHP,   0, 191N,  624W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, DSHP,  12, 201N,  651W,  29,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, DSHP,  24, 207N,  676W,  33,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, DSHP,  36, 213N,  701W,  36,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, DSHP,  48, 215N,  723W,  39,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, DSHP,  60, 216N,  746W,  42,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, DSHP,  72, 215N,  768W,  46,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, DSHP,  84, 215N,  788W,  41,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, DSHP,  96, 218N,  807W,  41,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, DSHP, 108, 223N,  825W,  44,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, DSHP, 120, 229N,  843W,  44,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, GFDL,   0, 186N,  625W,  27, 1014,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, GFDT,   0, 185N,  623W,  30, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, HWRF,   0, 187N,  624W,  28, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, HWRF,   6, 191N,  642W,  30, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, HWRF,  12, 197N,  660W,  31, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, HWRF,  18, 201N,  672W,  39, 1012, XX,  34, NEQ,  123,    0,    0,   75, 
AL, A7, 2010071906, 03, HWRF,  24, 204N,  693W,  34, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, HWRF,  30, 209N,  705W,  29, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, HWRF,  36, 212N,  721W,  35, 1010, XX,  34, NEQ,    0,  161,    0,    0, 
AL, A7, 2010071906, 03, HWRF,  42, 209N,  724W,  41, 1010, XX,  34, NEQ,   85,   91,    0,  118, 
AL, A7, 2010071906, 03, HWRF,  48, 217N,  745W,  41, 1009, XX,  34, NEQ,  106,    0,    0,   73, 
AL, A7, 2010071906, 03, HWRF,  54, 220N,  761W,  45, 1010, XX,  34, NEQ,  115,    0,    0,    0, 
AL, A7, 2010071906, 03, HWRF,  60, 223N,  777W,  37, 1008, XX,  34, NEQ,    0,    0,    0,   77, 
AL, A7, 2010071906, 03, HWRF,  66, 219N,  790W,  28, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, HWRF,  72, 217N,  797W,  28, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, HWRF,  78, 221N,  804W,  30, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, HWRF,  84, 227N,  814W,  29, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, HWRF,  90, 231N,  827W,  29, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, HWRF,  96, 234N,  840W,  30, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, HWRF, 102, 239N,  853W,  29, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, HWRF, 108, 241N,  865W,  30, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, HWRF, 114, 241N,  876W,  29, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, HWRF, 120, 245N,  885W,  32, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, HWRF, 126, 250N,  897W,  32, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, IVCN,   0,   0N,    0W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, IVCN,  12,   0N,    0W,  29,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, IVCN,  24,   0N,    0W,  31,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, IVCN,  36,   0N,    0W,  32,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, IVCN,  48,   0N,    0W,  33,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, IVCN,  60,   0N,    0W,  34,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, IVCN,  72,   0N,    0W,  38,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, IVCN,  84,   0N,    0W,  36,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, IVCN,  96,   0N,    0W,  37,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, IVCN, 108,   0N,    0W,  41,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, IVCN, 120,   0N,    0W,  43,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, LBAR,   0, 191N,  624W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, LBAR,  12, 199N,  646W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, LBAR,  24, 206N,  671W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, LBAR,  36, 213N,  698W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, LBAR,  48, 219N,  727W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, LBAR,  60, 225N,  758W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, LBAR,  72, 228N,  788W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, LBAR,  84, 234N,  814W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, LBAR,  96, 240N,  838W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, LBAR, 108, 250N,  857W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, LBAR, 120, 246N,  859W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, LGEM,   0, 191N,  624W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, LGEM,  12, 201N,  651W,  28,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, LGEM,  24, 207N,  676W,  28,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, LGEM,  36, 213N,  701W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, LGEM,  48, 215N,  723W,  26,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, LGEM,  60, 216N,  746W,  26,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, LGEM,  72, 215N,  768W,  29,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, LGEM,  84, 215N,  788W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, LGEM,  96, 218N,  807W,  33,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, LGEM, 108, 223N,  825W,  37,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, LGEM, 120, 229N,  843W,  41,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, MRCL,   0, 191N,  624W,  25,    0, WV,  34, NEQ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, MRCL,  12, 198N,  643W,  25,    0, DB,  34, NEQ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, MRCL,  24, 204N,  664W,  25,    0, DB,  34, NEQ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, MRCL,  36, 211N,  685W,  25,    0, DB,  34, NEQ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, MRCL,  48, 217N,  706W,  30,    0, DB,  34, NEQ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, MRCL,  72, 229N,  747W,  35,    0, DB,  34, NEQ,   35,   25,   20,   50, 
AL, A7, 2010071906, 03, OFCL,   0, 191N,  624W,  25,    0, WV,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,  35,   0, 
AL, A7, 2010071906, 03, OFCL,   3, 193N,  629W,  25,    0, WV,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,  35,   0, 
AL, A7, 2010071906, 03, OFCL,  12, 197N,  644W,  25,    0, WV,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,  35,   0, 
AL, A7, 2010071906, 03, OFCL,  24, 202N,  665W,  25,    0, WV,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,  35,   0, 
AL, A7, 2010071906, 03, OFCL,  36, 208N,  686W,  25,    0, LO,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,  35,   0, 
AL, A7, 2010071906, 03, OFCL,  48, 214N,  707W,  30,    0, DB,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,  40,   0, 
AL, A7, 2010071906, 03, OFCL,  72, 227N,  748W,  35,    0, DB,  34, NEQ,   35,    0,    0,   35,    0,    0,   0,  45,   0, 
AL, A7, 2010071906, 03, OFCL,  96, 243N,  784W,  45,    0, DB,  34, NEQ,   45,   30,   30,   45,    0,    0,   0,  55,   0, 
AL, A7, 2010071906, 03, OFCL, 120, 264N,  819W,  55,    0, DB,  34, NEQ,   55,   40,   40,   55,    0,    0,   0,  65,   0, 
AL, A7, 2010071906, 03, OFCL, 120, 264N,  819W,  55,    0, DB,  50, NEQ,   25,   15,   15,   25,    0,    0,   0,  65,   0, 
AL, A7, 2010071906, 03, SHF5,   0,   0N,    0W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, SHF5,  12,   0N,    0W,  31,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, SHF5,  24,   0N,    0W,  37,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, SHF5,  36,   0N,    0W,  42,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, SHF5,  48,   0N,    0W,  46,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, SHF5,  60,   0N,    0W,  48,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, SHF5,  72,   0N,    0W,  51,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, SHF5,  84,   0N,    0W,  50,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, SHF5,  96,   0N,    0W,  51,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, SHF5, 108,   0N,    0W,  50,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, SHF5, 120,   0N,    0W,  60,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, SHFR,  12,   0N,    0W,  28,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, SHFR,  24,   0N,    0W,  31,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, SHFR,  36,   0N,    0W,  34,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, SHFR,  48,   0N,    0W,  37,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, SHFR,  60,   0N,    0W,  39,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, SHFR,  72,   0N,    0W,  40,    0,   ,   0,    ,    0,    0,    0,    0, 
