AL, E3, 2010080600, 03, AEMN,  96, 244N,  524W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AEMN, 102, 250N,  534W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AEMN, 108, 258N,  543W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AEMN, 114, 264N,  550W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AEMN, 120, 268N,  554W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AEMN, 126, 271N,  561W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AEMN, 132, 276N,  565W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AEMN, 138, 282N,  566W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AEMN, 144, 285N,  564W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AEMN, 150, 287N,  566W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AEMN, 156, 292N,  565W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AEMN, 162, 296N,  563W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AEMN, 168, 299N,  559W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AEMN, 174, 301N,  555W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AEMN, 180, 301N,  550W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AEMN, 186, 310N,  546W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AEMN, 192, 314N,  538W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AEMN, 198, 320N,  535W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AEMN, 204, 329N,  531W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AEMN, 210, 338N,  527W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
