AL, 93, 2015110618, 03, BAMM, 108, 206N,  985W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, BAMM, 120, 211N, 1002W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, BAMM, 132, 219N, 1013W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, BAMM, 144, 230N, 1020W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, BAMM, 156, 249N, 1015W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, BAMM, 168, 271N,  994W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, BAMS,  12, 211N,  929W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, BAMS,  24, 224N,  938W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, BAMS,  36, 226N,  943W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, BAMS,  48, 223N,  950W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, BAMS,  60, 217N,  959W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, BAMS,  72, 218N,  968W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, BAMS,  84, 222N,  977W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, BAMS,  96, 228N,  983W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, BAMS, 108, 236N,  988W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, BAMS, 120, 248N,  989W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, BAMS, 132, 259N,  983W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, BAMS, 144, 268N,  979W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, BAMS, 156, 280N,  968W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, BAMS, 168, 294N,  955W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, CLIP,  12, 208N,  928W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, CLIP,  24, 218N,  937W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, CLIP,  36, 229N,  938W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, CLIP,  48, 238N,  935W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, CLIP,  72, 257N,  924W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, CLP5,  12, 206N,  927W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, CLP5,  24, 213N,  939W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, CLP5,  36, 219N,  946W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, CLP5,  48, 225N,  950W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, CLP5,  60, 231N,  944W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, CLP5,  72, 237N,  930W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, CLP5,  84, 240N,  920W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, CLP5,  96, 247N,  912W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, CLP5, 108, 254N,  902W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, CLP5, 120, 260N,  894W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, DSHP,   0, 198N,  910W,  25,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, DSHP,  12, 212N,  926W,  25,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, DSHP,  24, 222N,  935W,  27,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, DSHP,  36, 227N,  937W,  29,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, DSHP,  48, 224N,  938W,  27,    0, TD,   0,    ,    0,    0,    0,    0, 
