EP, 99, 2017092618, 03, AVNO,   0, 157N,  936W,  29, 1007, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99,  26,   0,   0, 
EP, 99, 2017092618, 03, CLP5,  12, 150N,  954W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, CLP5,  24, 156N,  963W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, CLP5,  36, 163N,  971W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, CLP5,  48, 170N,  980W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, CLP5,  60, 178N,  988W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, CLP5,  72, 183N,  996W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, CLP5,  84, 191N, 1005W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, CLP5,  96, 196N, 1013W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, CLP5, 108, 201N, 1023W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, CLP5, 120, 205N, 1031W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, CTCX,   0, 151N,  946W,  26, 1008, XX,  34, NEQ,    0,    0,    0,    0,    0,    0,  67,   0,   0, 
EP, 99, 2017092618, 03, DSHP,   0, 145N,  945W,  25,    0, TD,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, DSHP,  12, 152N,  951W,  29,    0, TD,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, DSHP,  24, 164N,  957W,  28,    0, TD,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, DSHP,  36, 173N,  967W,  27,    0, TD,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, DSHP,  48, 176N,  981W,  27,    0, TD,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, DSHP,  60, 177N,  997W,  27,    0, TD,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, DSHP,  72, 181N, 1016W,  27,    0, TD,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, DSHP,  84, 188N, 1035W,  27,    0, TD,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, DSHP,  96, 196N, 1054W,  30,    0, TD,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, DSHP, 108, 204N, 1070W,  29,    0, TD,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, DSHP, 120, 211N, 1085W,  27,    0, TD,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, IVCN,   0,   0N,    0W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, IVCN,  12,   0N,    0W,  29,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, IVCN,  24,   0N,    0W,  28,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, IVCN,  36,   0N,    0W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, IVCN,  48,   0N,    0W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, IVCN,  60,   0N,    0W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, IVCN,  72,   0N,    0W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, IVCN,  84,   0N,    0W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, IVCN,  96,   0N,    0W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, IVCN, 108,   0N,    0W,  31,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, IVCN, 120,   0N,    0W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, IVCX,   0,   0N,    0W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, IVCX,  12,   0N,    0W,  29,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, IVCX,  24,   0N,    0W,  28,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, IVCX,  36,   0N,    0W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, IVCX,  48,   0N,    0W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, IVCX,  60,   0N,    0W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, IVCX,  72,   0N,    0W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, IVCX,  84,   0N,    0W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, IVCX,  96,   0N,    0W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, IVCX, 108,   0N,    0W,  31,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, IVCX, 120,   0N,    0W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, LGEM,   0, 145N,  945W,  25,    0, TD,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, LGEM,  12, 152N,  951W,  29,    0, TD,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, LGEM,  24, 164N,  957W,  27,    0, TD,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, LGEM,  36, 173N,  967W,  27,    0, TD,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, LGEM,  48, 176N,  981W,  27,    0, TD,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, LGEM,  60, 177N,  997W,  27,    0, TD,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, LGEM,  72, 181N, 1016W,  27,    0, TD,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, LGEM,  84, 188N, 1035W,  27,    0, TD,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, LGEM,  96, 196N, 1054W,  30,    0, TD,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, LGEM, 108, 204N, 1070W,  32,    0, TD,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, LGEM, 120, 211N, 1085W,  33,    0, TD,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, OCD5,   0, 145N,  945W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, OCD5,  12, 150N,  954W,  33,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, OCD5,  24, 156N,  963W,  44,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, OCD5,  36, 163N,  971W,  35,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, OCD5,  48, 170N,  980W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, OCD5,  60, 178N,  988W,  28,    0,   ,   0,    ,    0,    0,    0,    0, 
