AL, 17, 2005091318, 03, LBAR,  72, 100N,  539W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, LBAR,  84, 103N,  565W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, LBAR,  96, 109N,  586W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, LBAR, 108, 121N,  599W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, LBAR, 120, 125N,  602W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, SHF5,   0,   0N,    0W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, SHF5,  12,   0N,    0W,  23,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, SHF5,  24,   0N,    0W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, SHF5,  36,   0N,    0W,  31,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, SHF5,  48,   0N,    0W,  35,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, SHF5,  60,   0N,    0W,  38,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, SHF5,  72,   0N,    0W,  41,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, SHF5,  84,   0N,    0W,  45,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, SHF5,  96,   0N,    0W,  49,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, SHF5, 108,   0N,    0W,  48,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, SHF5, 120,   0N,    0W,  60,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, SHFR,  12,   0N,    0W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, SHFR,  24,   0N,    0W,  21,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, SHFR,  36,   0N,    0W,  22,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, SHFR,  48,   0N,    0W,  24,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, SHFR,  60,   0N,    0W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, SHFR,  72,   0N,    0W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, SHIP,   0,  95N,  385W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, SHIP,  12,  98N,  403W,  21,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, SHIP,  24, 100N,  420W,  26,    0,   ,   0,    ,    0,    0,    0,    0, 
