CP, 01, 2005080318, 03, AN03,  54, 160N, 1503W,  23, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN03,  60, 158N, 1522W,  26, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN03,  66, 152N, 1542W,  22, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN03,  72, 148N, 1547W,  24, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN04,   0, 140N, 1410W,  27, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN04,   6, 136N, 1428W,  26, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN04,  12, 133N, 1442W,  27, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN04,  18, 131N, 1450W,  23, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN04,  24, 121N, 1470W,  23, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN04,  30, 116N, 1479W,  23, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN04,  36, 110N, 1481W,  21, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN04,  42,  98N, 1495W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN05,   0, 142N, 1419W,  24, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN05,   6, 150N, 1442W,  31, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN05,  12, 153N, 1459W,  32, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN05,  18, 158N, 1471W,  29, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN05,  24, 161N, 1486W,  31, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN05,  30, 168N, 1502W,  31, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN05,  36, 170N, 1518W,  33, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN05,  42, 169N, 1534W,  31, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
