AL, 08, 2012082000,   , BEST,   0, 364N,  266W,  70,  981, HU,  34, NEQ,   70,  100,   80,   70, 1012,  140,  25,  85,   0,   L,   0,    ,   0,   0,     GORDON, D, 12, NEQ,  120,  240,  270,  150
AL, 08, 2012082000,   , BEST,   0, 364N,  266W,  70,  981, HU,  50, NEQ,   40,   60,   50,   40, 1012,  140,  25,  85,   0,   L,   0,    ,   0,   0,     GORDON, D, 12, NEQ,  120,  240,  270,  150
AL, 08, 2012082000,   , BEST,   0, 364N,  266W,  70,  981, HU,  64, NEQ,   20,   30,   30,   20, 1012,  140,  25,  85,   0,   L,   0,    ,   0,   0,     GORDON, D, 12, NEQ,  120,  240,  270,  150
AL, 08, 2012082005, 30, BEST,   0, 370N,  251W,  65,  984, HU,  34, NEQ,   70,  100,   80,   70, 
AL, 08, 2012082005, 30, BEST,   0, 370N,  251W,  65,  984, HU,  50, NEQ,   40,   50,   40,   40, 
AL, 08, 2012082005, 30, BEST,   0, 370N,  251W,  65,  984, HU,  64, NEQ,   20,   30,   20,   20, 
AL, 08, 2012082006,   , BEST,   0, 371N,  250W,  65,  984, HU,  34, NEQ,   70,  100,   80,   70, 1012,  140,  25,  80,   0,   L,   0,    ,   0,   0,     GORDON, M, 12, NEQ,  120,  240,  270,  150
AL, 08, 2012082006,   , BEST,   0, 371N,  250W,  65,  984, HU,  50, NEQ,   40,   50,   40,   40, 1012,  140,  25,  80,   0,   L,   0,    ,   0,   0,     GORDON, M, 12, NEQ,  120,  240,  270,  150
AL, 08, 2012082006,   , BEST,   0, 371N,  250W,  65,  984, HU,  64, NEQ,   20,   30,   20,   20, 1012,  140,  25,  80,   0,   L,   0,    ,   0,   0,     GORDON, M, 12, NEQ,  120,  240,  270,  150
AL, 08, 2012082012,   , BEST,   0, 379N,  232W,  60,  990, TS,  34, NEQ,   90,   90,   60,   70, 1012,  130,  25,  75,   0,   L,   0,    ,   0,   0,     GORDON, M, 12, NEQ,  120,  200,  240,   60
AL, 08, 2012082012,   , BEST,   0, 379N,  232W,  60,  990, TS,  50, NEQ,   40,   50,   30,   40, 1012,  130,  25,  75,   0,   L,   0,    ,   0,   0,     GORDON, M, 12, NEQ,  120,  200,  240,   60
AL, 08, 2012082018,   , BEST,   0, 389N,  211W,  45,  996, LO,  34, NEQ,   90,   90,   40,   60, 1016,  150,  30,  55,   0,   L,   0,    ,   0,   0,     GORDON, M, 12, NEQ,  120,  200,  240,   60
AL, 08, 2012082100,   , BEST,   0, 398N,  193W,  40, 1000, LO,  34, NEQ,   90,   90,   40,   60, 
AL, 08, 2012082106,   , BEST,   0, 400N,  177W,  40, 1002, LO,  34, NEQ,   90,   90,   40,   60, 
AL, 08, 2012082112,   , BEST,   0, 398N,  166W,  30, 1004, LO,   0,    ,    0,    0,    0,    0, 
