EP, 05, 2012071218,   , BEST,   0, 151N, 1219W,  90,  966, HU,  34, NEQ,   80,   80,   60,   80, 1008,  250,  20, 110,   0,   E,   0,    ,   0,   0,     EMILIA, D, 12, NEQ,  240,  160,  140,  180
EP, 05, 2012071218,   , BEST,   0, 151N, 1219W,  90,  966, HU,  50, NEQ,   40,   40,   30,   40, 1008,  250,  20, 110,   0,   E,   0,    ,   0,   0,     EMILIA, D, 12, NEQ,  240,  160,  140,  180
EP, 05, 2012071218,   , BEST,   0, 151N, 1219W,  90,  966, HU,  64, NEQ,   20,   20,   20,   20, 1008,  250,  20, 110,   0,   E,   0,    ,   0,   0,     EMILIA, D, 12, NEQ,  240,  160,  140,  180
EP, 05, 2012071300,   , BEST,   0, 152N, 1230W,  80,  977, HU,  34, NEQ,   80,   80,   60,   80, 1007,  200,  20, 100,   0,   E,   0,    ,   0,   0,     EMILIA, D, 12, NEQ,  240,  160,  140,  180
EP, 05, 2012071300,   , BEST,   0, 152N, 1230W,  80,  977, HU,  50, NEQ,   40,   40,   30,   40, 1007,  200,  20, 100,   0,   E,   0,    ,   0,   0,     EMILIA, D, 12, NEQ,  240,  160,  140,  180
EP, 05, 2012071300,   , BEST,   0, 152N, 1230W,  80,  977, HU,  64, NEQ,   20,    0,    0,   20, 1007,  200,  20, 100,   0,   E,   0,    ,   0,   0,     EMILIA, D, 12, NEQ,  240,  160,  140,  180
EP, 05, 2012071306,   , BEST,   0, 153N, 1242W,  70,  986, HU,  34, NEQ,   70,   70,   60,   70, 1008,  200,  20,  75,   0,   E,   0,    ,   0,   0,     EMILIA, D, 12, NEQ,  180,  150,  180,  180
EP, 05, 2012071306,   , BEST,   0, 153N, 1242W,  70,  986, HU,  50, NEQ,   40,   40,   20,   40, 1008,  200,  20,  75,   0,   E,   0,    ,   0,   0,     EMILIA, D, 12, NEQ,  180,  150,  180,  180
EP, 05, 2012071306,   , BEST,   0, 153N, 1242W,  70,  986, HU,  64, NEQ,   20,    0,    0,   20, 1008,  200,  20,  75,   0,   E,   0,    ,   0,   0,     EMILIA, D, 12, NEQ,  180,  150,  180,  180
EP, 05, 2012071312,   , BEST,   0, 154N, 1254W,  60,  993, TS,  34, NEQ,   70,   70,   50,   70, 1008,  200,  20,  65,   0,   E,   0,    ,   0,   0,     EMILIA, M, 12, NEQ,  180,  120,  150,  150
EP, 05, 2012071312,   , BEST,   0, 154N, 1254W,  60,  993, TS,  50, NEQ,   40,   30,   20,   40, 1008,  200,  20,  65,   0,   E,   0,    ,   0,   0,     EMILIA, M, 12, NEQ,  180,  120,  150,  150
EP, 05, 2012071318,   , BEST,   0, 155N, 1266W,  50,  998, TS,  34, NEQ,   60,   60,   40,   60, 1008,  200,  20,  55,   0,   E,   0,    ,   0,   0,     EMILIA, M, 12, NEQ,  180,   90,  150,  150
EP, 05, 2012071318,   , BEST,   0, 155N, 1266W,  50,  998, TS,  50, NEQ,   30,    0,    0,    0, 1008,  200,  20,  55,   0,   E,   0,    ,   0,   0,     EMILIA, M, 12, NEQ,  180,   90,  150,  150
EP, 05, 2012071400,   , BEST,   0, 156N, 1279W,  45, 1001, TS,  34, NEQ,   60,   50,   30,   50, 1007,  150,  20,  55,   0,   E,   0,    ,   0,   0,     EMILIA, M, 12, NEQ,  180,   90,  150,  150
EP, 05, 2012071406,   , BEST,   0, 156N, 1292W,  45, 1001, TS,  34, NEQ,   60,   40,   20,   50, 1008,  150,  20,  55,   0,   E,   0,    ,   0,   0,     EMILIA, M, 12, NEQ,   90,   60,   75,   90
EP, 05, 2012071412,   , BEST,   0, 156N, 1306W,  45, 1001, TS,  34, NEQ,   60,   30,   20,   50, 1008,  150,  20,  55,   0,   E,   0,    ,   0,   0,     EMILIA, M, 12, NEQ,   90,   75,   75,   90
EP, 05, 2012071418,   , BEST,   0, 156N, 1321W,  40, 1003, TS,  34, NEQ,   60,   30,   20,   50, 1008,  150,  20,  55,   0,   E,   0,    ,   0,   0,     EMILIA, M, 12, NEQ,   90,   60,   60,   90
EP, 05, 2012071500,   , BEST,   0, 156N, 1337W,  35, 1004, TS,  34, NEQ,   60,    0,    0,   50, 1009,  150,  30,  50,   0,   E,   0,    ,   0,   0,     EMILIA, M, 12, NEQ,   90,   60,   60,   90
EP, 05, 2012071506,   , BEST,   0, 156N, 1354W,  35, 1004, TS,  34, NEQ,   60,    0,    0,   50, 1009,  150,  30,  45,   0,   E,   0,    ,   0,   0,     EMILIA, M, 12, NEQ,   90,   60,   60,   90
EP, 05, 2012071512,   , BEST,   0, 155N, 1371W,  35, 1004, TS,  34, NEQ,   60,    0,    0,    0, 1009,  150,  30,  40,   0,   E,   0,    ,   0,   0,     EMILIA, M, 
EP, 05, 2012071518,   , BEST,   0, 154N, 1387W,  30, 1005, LO,   0,    ,    0,    0,    0,    0, 
EP, 05, 2012071600,   , BEST,   0, 153N, 1403W,  30, 1005, LO,   0,    ,    0,    0,    0,    0, 
EP, 05, 2012071606,   , BEST,   0, 152N, 1419W,  30, 1005, LO,   0,    ,    0,    0,    0,    0, 
EP, 05, 2012071612,   , BEST,   0, 150N, 1435W,  30, 1005, LO,   0,    ,    0,    0,    0,    0, 
EP, 05, 2012071618,   , BEST,   0, 149N, 1451W,  30, 1006, LO,   0,    ,    0,    0,    0,    0, 
EP, 05, 2012071700,   , BEST,   0, 148N, 1467W,  30, 1006, LO,   0,    ,    0,    0,    0,    0, 
EP, 05, 2012071706,   , BEST,   0, 147N, 1484W,  30, 1006, LO,   0,    ,    0,    0,    0,    0, 
EP, 05, 2012071712,   , BEST,   0, 147N, 1501W,  30, 1006, LO,   0,    ,    0,    0,    0,    0, 
EP, 05, 2012071718,   , BEST,   0, 147N, 1519W,  30, 1006, LO,   0,    ,    0,    0,    0,    0, 
EP, 05, 2012071800,   , BEST,   0, 147N, 1537W,  25, 1007, LO,   0,    ,    0,    0,    0,    0, 
