CP, 96, 2018090206, 03, AP07,   6, 405N, 1783W,  33,  997, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP07,  12, 411N, 1785W,  31,  999, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP07,  18, 418N, 1788W,  29, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP07,  24, 426N, 1789W,  26, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP07,  30, 434N, 1791W,  26, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP07,  36, 448N, 1790W,  26, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP07,  42, 466N, 1790W,  30, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP07,  48, 487N, 1792W,  33, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP07,  54, 510N, 1795W,  36, 1007, XX,  34, NEQ,  207,    0,    0,    0, 
CP, 96, 2018090206, 03, AP07,  60, 535N, 1783E,  35, 1008, XX,  34, NEQ,  223,    0,    0,    0, 
CP, 96, 2018090206, 03, AP08,   0, 394N, 1782W,  41,  995, XX,  34, NEQ,  112,   81,    0,  104, 
CP, 96, 2018090206, 03, AP08,   6, 400N, 1784W,  32,  997, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP08,  12, 407N, 1786W,  30,  999, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP08,  18, 413N, 1789W,  28, 1001, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP08,  24, 421N, 1791W,  26, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP08,  30, 429N, 1793W,  27, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP08,  36, 442N, 1792W,  27, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP08,  42, 457N, 1792W,  26, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP08,  48, 475N, 1788W,  31, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP08,  54, 496N, 1790W,  33, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP08,  60, 516N, 1797E,  33, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP09,   0, 399N, 1778W,  34,  997, XX,  34, NEQ,   83,   87,    0,    0, 
CP, 96, 2018090206, 03, AP09,   6, 408N, 1777W,  34,  998, XX,  34, NEQ,   80,    0,    0,    0, 
CP, 96, 2018090206, 03, AP09,  12, 414N, 1778W,  30,  999, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP09,  18, 420N, 1781W,  28, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP09,  24, 427N, 1781W,  25, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP09,  30, 435N, 1781W,  25, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP09,  36, 447N, 1780W,  25, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP09,  42, 462N, 1778W,  30, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP09,  48, 481N, 1777W,  33, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP09,  54, 500N, 1775W,  34, 1008, XX,  34, NEQ,  162,    0,    0,    0, 
CP, 96, 2018090206, 03, AP09,  60, 526N, 1785W,  34, 1010, XX,  34, NEQ,  200,  164,    0,    0, 
