AL, 94, 2018101418, 03, AP16,  42, 162N,  867W,  23, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP16,  48, 168N,  884W,  21, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP16,  54, 171N,  904W,  16, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP17,   0, 140N,  811W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP17,   6, 139N,  811W,  17, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP17,  12, 142N,  819W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP17,  18, 142N,  826W,  17, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP17,  24, 141N,  834W,  16, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP17,  30, 140N,  847W,  14, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP17,  36, 141N,  854W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP17,  42, 154N,  869W,  21, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP17,  48, 155N,  882W,  18, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP18,   0, 141N,  803W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP18,   6, 141N,  812W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP18,  12, 136N,  820W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP18,  18, 138N,  827W,  17, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP18,  24, 127N,  843W,  13, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP19,   0, 148N,  799W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP19,   6, 142N,  808W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP19,  12, 148N,  813W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP19,  18, 152N,  822W,  20, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP19,  24, 147N,  833W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP19,  30, 148N,  842W,  16, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP19,  36, 160N,  857W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP19,  42, 166N,  872W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP19,  48, 162N,  882W,  22, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP20,   0, 139N,  807W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP20,   6, 140N,  811W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP20,  12, 138N,  816W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP20,  18, 136N,  824W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP20,  24, 137N,  831W,  16, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP20,  30, 136N,  839W,  16, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP20,  36, 139N,  842W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP20,  42, 137N,  850W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AP20,  48, 145N,  866W,  15, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AVNO,   0, 141N,  810W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99, 161,   0,   0, 
AL, 94, 2018101418, 03, AVNO,   6, 139N,  815W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99, 157,   0,   0, 
AL, 94, 2018101418, 03, AVNO,  12, 139N,  821W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99, 160,   0,   0, 
AL, 94, 2018101418, 03, AVNO,  18, 138N,  830W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99, 158,   0,   0, 
