AL, 16, 2008090106, 03, AP01,  54, 138N,  303W,  26, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP01,  60, 142N,  326W,  23, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP01,  66, 144N,  339W,  27, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP01,  72, 146N,  355W,  26, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP01,  78, 151N,  371W,  26, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP01,  84, 151N,  381W,  23, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP01,  90, 158N,  398W,  26, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP01,  96, 160N,  404W,  22, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP01, 102, 161N,  419W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP01, 108, 159N,  424W,  19, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP02,   0, 118N,  174W,  12, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP02,   6, 103N,  195W,  15, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP02,  12, 101N,  210W,  15, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP02,  18, 106N,  223W,  14, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP03,   0, 112N,  179W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP03,   6, 109N,  191W,  15, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP03,  12, 112N,  202W,  17, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP03,  18, 120N,  213W,  12, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP03,  24, 119N,  232W,  14, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP03,  30, 117N,  264W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP03,  36, 123N,  278W,  19, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP03,  42, 132N,  294W,  21, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP03,  48, 135N,  318W,  26, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP03,  54, 140N,  331W,  27, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP03,  60, 147N,  352W,  30, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP03,  66, 149N,  370W,  29, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP03,  72, 149N,  389W,  28, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP03,  78, 153N,  400W,  30, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP03,  84, 160N,  411W,  27, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP03,  90, 167N,  428W,  29, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP03,  96, 168N,  439W,  27, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP03, 102, 170N,  450W,  26, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP03, 108, 171N,  461W,  23, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP03, 114, 171N,  470W,  21, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP03, 120, 172N,  474W,  21, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP03, 126, 171N,  481W,  23, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP03, 132, 177N,  491W,  22, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP03, 138, 176N,  500W,  23, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP03, 144, 176N,  514W,  24, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP03, 150, 175N,  528W,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP03, 156, 178N,  529W,  21, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP03, 162, 181N,  541W,  23, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP03, 168, 181N,  551W,  21, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP03, 174, 183N,  566W,  19, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP03, 180, 189N,  581W,  18, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP03, 186, 197N,  581W,  19, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP04,   0, 113N,  178W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP04,   6, 103N,  190W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP04,  12, 111N,  202W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP04,  18, 113N,  220W,  17, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP04,  24, 116N,  238W,  14, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP04,  30, 120N,  259W,  16, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP04,  36, 118N,  270W,  20, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP04,  42, 121N,  281W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP04,  48, 130N,  300W,  24, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP04,  54, 134N,  320W,  26, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP04,  60, 136N,  341W,  26, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP04,  66, 136N,  356W,  26, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP04,  72, 139N,  369W,  26, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP04,  78, 140N,  386W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP04,  84, 142N,  391W,  24, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP04,  90, 148N,  401W,  24, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP04,  96, 152N,  406W,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP04, 102, 161N,  412W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP04, 108, 167N,  420W,  22, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP04, 114, 172N,  423W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP04, 120, 177N,  426W,  19, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP04, 126, 178N,  433W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP04, 132, 186N,  432W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP04, 138, 187N,  435W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP04, 144, 190N,  440W,  16, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP04, 150, 194N,  442W,  18, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP04, 156, 196N,  443W,  13, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP04, 162, 202N,  449W,  14, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP04, 168, 206N,  451W,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP04, 174, 209N,  459W,  14, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP04, 180, 213N,  465W,  13, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP04, 186, 217N,  470W,  13, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP04, 192, 234N,  466W,  13, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP04, 198, 244N,  471W,  14, 1016, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP04, 204, 257N,  478W,  13, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP04, 210, 259N,  472W,  11, 1018, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP04, 216, 265N,  474W,  11, 1017, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP04, 222, 263N,  482W,  10, 1018, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP04, 228, 268N,  482W,  10, 1016, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP04, 234, 275N,  480W,  10, 1018, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP04, 240, 278N,  480W,   9, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP05,   0, 121N,  178W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2008090106, 03, AP05,   6, 106N,  191W,  16, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
