EP, 18, 2008080818, 03, AP10,  12, 126N, 1091W,  14, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP10,  18, 119N, 1088W,  13, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP10,  24, 128N, 1099W,  11, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP10,  30, 127N, 1098W,  12, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP10,  36, 131N, 1105W,  12, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP10,  42, 131N, 1108W,  12, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP10,  48, 128N, 1114W,  11, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP11,   0, 125N, 1071W,  16, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP11,   6, 121N, 1075W,  15, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP11,  12, 117N, 1083W,  15, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP11,  18, 111N, 1079W,  14, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP11,  24, 113N, 1087W,  14, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP11,  30, 111N, 1088W,  15, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP11,  36, 119N, 1087W,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP11,  42, 119N, 1100W,  13, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP11,  48, 126N, 1101W,  10, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP11,  54, 127N, 1110W,  11, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP11,  60, 118N, 1120W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP11,  66, 121N, 1128W,  15, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP11,  72, 120N, 1139W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP11,  78, 122N, 1134W,  15, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP11,  84, 121N, 1138W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP11,  90, 123N, 1147W,  15, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP11,  96, 122N, 1147W,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP11, 102, 124N, 1144W,  17, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP11, 108, 123N, 1141W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP11, 114, 127N, 1147W,  16, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP15,   0, 127N, 1075W,  24, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP15,   6, 121N, 1073W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP15,  12, 121N, 1089W,  17, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP15,  18, 124N, 1090W,  16, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP15,  24, 127N, 1094W,  15, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP15,  30, 127N, 1098W,  17, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP15,  36, 129N, 1106W,  14, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
