EP, 06, 2008071600,   , BEST,   0, 163N, 1137W,  65,  986, HU,  64, NEQ,   15,   15,   15,   15, 1012,  270,  10,  80,   0,   E,   0,    ,   0,   0,      ELIDA, D, 12, NEQ, 180,  90,  60, 120
EP, 06, 2008071606,   , BEST,   0, 164N, 1149W,  70,  983, HU,  34, NEQ,   75,   90,   90,   60, 1012,  270,  10,  85,   0,   E,   0,    ,   0,   0,      ELIDA, D, 12, NEQ, 150, 120, 120,  90
EP, 06, 2008071606,   , BEST,   0, 164N, 1149W,  70,  983, HU,  50, NEQ,   30,   40,   30,   25, 1012,  270,  10,  85,   0,   E,   0,    ,   0,   0,      ELIDA, D, 12, NEQ, 150, 120, 120,  90
EP, 06, 2008071606,   , BEST,   0, 164N, 1149W,  70,  983, HU,  64, NEQ,   15,   15,   15,   15, 1012,  270,  10,  85,   0,   E,   0,    ,   0,   0,      ELIDA, D, 12, NEQ, 150, 120, 120,  90
EP, 06, 2008071612,   , BEST,   0, 166N, 1160W,  75,  981, HU,  34, NEQ,   75,   90,   90,   60, 1012,  270,  10,  90,   0,   E,   0,    ,   0,   0,      ELIDA, D, 12, NEQ, 150, 120, 120, 100
EP, 06, 2008071612,   , BEST,   0, 166N, 1160W,  75,  981, HU,  50, NEQ,   30,   40,   30,   25, 1012,  270,  10,  90,   0,   E,   0,    ,   0,   0,      ELIDA, D, 12, NEQ, 150, 120, 120, 100
EP, 06, 2008071612,   , BEST,   0, 166N, 1160W,  75,  981, HU,  64, NEQ,   15,   15,   15,   15, 1012,  270,  10,  90,   0,   E,   0,    ,   0,   0,      ELIDA, D, 12, NEQ, 150, 120, 120, 100
EP, 06, 2008071618,   , BEST,   0, 169N, 1172W,  90,  970, HU,  34, NEQ,   60,   75,   60,   75, 1012,  270,  10, 110,   0,   E,   0,    ,   0,   0,      ELIDA, D, 12, NEQ, 150, 120, 120, 100
EP, 06, 2008071618,   , BEST,   0, 169N, 1172W,  90,  970, HU,  50, NEQ,   30,   40,   30,   30, 1012,  270,  10, 110,   0,   E,   0,    ,   0,   0,      ELIDA, D, 12, NEQ, 150, 120, 120, 100
EP, 06, 2008071618,   , BEST,   0, 169N, 1172W,  90,  970, HU,  64, NEQ,   15,   15,   15,   15, 1012,  270,  10, 110,   0,   E,   0,    ,   0,   0,      ELIDA, D, 12, NEQ, 150, 120, 120, 100
EP, 06, 2008071700,   , BEST,   0, 172N, 1184W,  90,  970, HU,  34, NEQ,   60,   75,   60,   75, 1012,  270,  10, 110,   0,   E,   0,    ,   0,   0,      ELIDA, D, 12, NEQ, 150, 120, 120, 100
EP, 06, 2008071700,   , BEST,   0, 172N, 1184W,  90,  970, HU,  50, NEQ,   30,   40,   30,   30, 1012,  270,  10, 110,   0,   E,   0,    ,   0,   0,      ELIDA, D, 12, NEQ, 150, 120, 120, 100
EP, 06, 2008071700,   , BEST,   0, 172N, 1184W,  90,  970, HU,  64, NEQ,   15,   15,   15,   15, 1012,  270,  10, 110,   0,   E,   0,    ,   0,   0,      ELIDA, D, 12, NEQ, 150, 120, 120, 100
EP, 06, 2008071706,   , BEST,   0, 171N, 1199W,  85,  974, HU,  34, NEQ,   60,   75,   60,   75, 1012,  270,  10, 105,   0,   E,   0,    ,   0,   0,      ELIDA, D, 12, NEQ, 150, 100, 100, 120
EP, 06, 2008071706,   , BEST,   0, 171N, 1199W,  85,  974, HU,  50, NEQ,   30,   30,   20,   30, 1012,  270,  10, 105,   0,   E,   0,    ,   0,   0,      ELIDA, D, 12, NEQ, 150, 100, 100, 120
EP, 06, 2008071706,   , BEST,   0, 171N, 1199W,  85,  974, HU,  64, NEQ,   15,   15,   10,   15, 1012,  270,  10, 105,   0,   E,   0,    ,   0,   0,      ELIDA, D, 12, NEQ, 150, 100, 100, 120
