EP, 08, 2008072612,   , BEST,   0, 170N, 1198W,  50,  997, TS,  34, NEQ,   45,   30,   30,   60, 1009,  200,  15,  60,   0,   E,   0,    ,   0,   0,  GENEVIEVE, D, 12, NEQ,  90,  45,  60,  90
EP, 08, 2008072612,   , BEST,   0, 170N, 1198W,  50,  997, TS,  50, NEQ,   30,   20,   20,   30, 1009,  200,  15,  60,   0,   E,   0,    ,   0,   0,  GENEVIEVE, D, 12, NEQ,  90,  45,  60,  90
EP, 08, 2008072618,   , BEST,   0, 170N, 1209W,  45, 1000, TS,  34, NEQ,   30,   30,   30,   30, 1009,  200,  15,  55,   0,   E,   0,    ,   0,   0,  GENEVIEVE, D, 12, NEQ,  90,  45,  60,  90
EP, 08, 2008072700,   , BEST,   0, 169N, 1220W,  35, 1000, TS,  34, NEQ,    0,    0,    0,   30, 1009,  200,  15,  55,   0,   E,   0,    ,   0,   0,  GENEVIEVE, M, 12, NEQ,  75,  75,  75,  75
EP, 08, 2008072706,   , BEST,   0, 169N, 1231W,  30, 1004, TD,   0,    ,    0,    0,    0,    0, 1009,  180,  25,  40,   0,   E,   0,    ,   0,   0,  GENEVIEVE, S, 
EP, 08, 2008072712,   , BEST,   0, 169N, 1244W,  25, 1006, LO,   0,    ,    0,    0,    0,    0, 1009,  180,  25,  35,   0,   E,   0,    ,   0,   0,  GENEVIEVE, S, 
EP, 08, 2008072718,   , BEST,   0, 169N, 1253W,  25, 1008, LO,   0,    ,    0,    0,    0,    0, 
EP, 08, 2008072800,   , BEST,   0, 170N, 1260W,  25, 1009, LO,   0,    ,    0,    0,    0,    0, 
EP, 08, 2008072806,   , BEST,   0, 170N, 1270W,  25, 1009, LO,   0,    ,    0,    0,    0,    0, 
EP, 08, 2008072812,   , BEST,   0, 170N, 1280W,  25, 1010, LO,   0,    ,    0,    0,    0,    0, 
EP, 08, 2008072818,   , BEST,   0, 170N, 1290W,  25, 1010, LO,   0,    ,    0,    0,    0,    0, 
EP, 08, 2008072900,   , BEST,   0, 173N, 1300W,  25, 1011, LO,   0,    ,    0,    0,    0,    0, 
EP, 08, 2008072906,   , BEST,   0, 178N, 1310W,  20, 1012, LO,   0,    ,    0,    0,    0,    0, 
EP, 08, 2008072912,   , BEST,   0, 180N, 1320W,  20, 1013, LO,   0,    ,    0,    0,    0,    0, 
EP, 08, 2008072918,   , BEST,   0, 180N, 1330W,  20, 1013, LO,   0,    ,    0,    0,    0,    0, 
EP, 08, 2008073000,   , BEST,   0, 178N, 1341W,  20, 1014, LO,   0,    ,    0,    0,    0,    0, 
EP, 08, 2008073006,   , BEST,   0, 175N, 1352W,  20, 1014, LO,   0,    ,    0,    0,    0,    0, 
EP, 08, 2008073012,   , BEST,   0, 171N, 1364W,  20, 1014, LO,   0,    ,    0,    0,    0,    0, 
EP, 08, 2008073018,   , BEST,   0, 167N, 1377W,  20, 1014, LO,   0,    ,    0,    0,    0,    0, 
EP, 08, 2008073100,   , BEST,   0, 164N, 1389W,  20, 1014, LO,   0,    ,    0,    0,    0,    0, 
EP, 08, 2008073106,   , BEST,   0, 166N, 1400W,  20, 1015, LO,   0,    ,    0,    0,    0,    0, 
