EP, 08, 2009080706,   , BEST,   0, 172N, 1340W, 105,  956, HU,  50, NEQ,   60,   60,   45,   45, 1008,  200,  10, 120,   0,   E,   0,    ,   0,   0,    FELICIA, D, 12, NEQ, 200, 150, 100, 150
EP, 08, 2009080706,   , BEST,   0, 172N, 1340W, 105,  956, HU,  64, NEQ,   35,   35,   25,   25, 1008,  200,  10, 120,   0,   E,   0,    ,   0,   0,    FELICIA, D, 12, NEQ, 200, 150, 100, 150
EP, 08, 2009080712,   , BEST,   0, 177N, 1352W,  95,  967, HU,  34, NEQ,  105,  120,   75,   90, 1008,  180,  10, 110,   0,   E,   0,    ,   0,   0,    FELICIA, D, 12, NEQ, 225, 120,  75, 150
EP, 08, 2009080712,   , BEST,   0, 177N, 1352W,  95,  967, HU,  50, NEQ,   60,   60,   45,   45, 1008,  180,  10, 110,   0,   E,   0,    ,   0,   0,    FELICIA, D, 12, NEQ, 225, 120,  75, 150
EP, 08, 2009080712,   , BEST,   0, 177N, 1352W,  95,  967, HU,  64, NEQ,   35,   35,   25,   25, 1008,  180,  10, 110,   0,   E,   0,    ,   0,   0,    FELICIA, D, 12, NEQ, 225, 120,  75, 150
EP, 08, 2009080718,   , BEST,   0, 181N, 1363W,  85,  973, HU,  34, NEQ,   80,   60,   60,   80, 1008,  180,  15, 105,   0,   E,   0,    ,   0,   0,    FELICIA, D, 12, NEQ, 200, 150,  90, 150
EP, 08, 2009080718,   , BEST,   0, 181N, 1363W,  85,  973, HU,  50, NEQ,   45,   35,   35,   45, 1008,  180,  15, 105,   0,   E,   0,    ,   0,   0,    FELICIA, D, 12, NEQ, 200, 150,  90, 150
EP, 08, 2009080718,   , BEST,   0, 181N, 1363W,  85,  973, HU,  64, NEQ,   30,   20,   20,   30, 1008,  180,  15, 105,   0,   E,   0,    ,   0,   0,    FELICIA, D, 12, NEQ, 200, 150,  90, 150
EP, 08, 2009080800,   , BEST,   0, 186N, 1374W,  90,  970, HU,  34, NEQ,   90,   75,   75,   90, 1008,  180,  15, 110,   0,   E,   0,    ,   0,   0,    FELICIA, D, 12, NEQ, 200, 150,  90, 150
EP, 08, 2009080800,   , BEST,   0, 186N, 1374W,  90,  970, HU,  50, NEQ,   45,   35,   35,   45, 1008,  180,  15, 110,   0,   E,   0,    ,   0,   0,    FELICIA, D, 12, NEQ, 200, 150,  90, 150
EP, 08, 2009080800,   , BEST,   0, 186N, 1374W,  90,  970, HU,  64, NEQ,   30,   20,   20,   30, 1008,  180,  15, 110,   0,   E,   0,    ,   0,   0,    FELICIA, D, 12, NEQ, 200, 150,  90, 150
