AL, 03, 2009081912,   , BEST,   0, 183N,  556W, 115,  949, HU,  34, NEQ,  150,  150,  100,  150, 1008,  250,  20, 140,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 330, 270, 180, 280
AL, 03, 2009081912,   , BEST,   0, 183N,  556W, 115,  949, HU,  50, NEQ,  100,   75,   60,   75, 1008,  250,  20, 140,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 330, 270, 180, 280
AL, 03, 2009081912,   , BEST,   0, 183N,  556W, 115,  949, HU,  64, NEQ,   70,   45,   30,   40, 1008,  250,  20, 140,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 330, 270, 180, 280
AL, 03, 2009081918,   , BEST,   0, 193N,  569W, 115,  947, HU,  34, NEQ,  200,  175,  100,  175, 1009,  250,  20, 140,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 360, 300, 210, 310
AL, 03, 2009081918,   , BEST,   0, 193N,  569W, 115,  947, HU,  50, NEQ,  105,   90,   60,   90, 1009,  250,  20, 140,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 360, 300, 210, 310
AL, 03, 2009081918,   , BEST,   0, 193N,  569W, 115,  947, HU,  64, NEQ,   75,   45,   30,   45, 1009,  250,  20, 140,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 360, 300, 210, 310
AL, 03, 2009082000,   , BEST,   0, 202N,  582W, 115,  945, HU,  34, NEQ,  200,  175,  100,  175, 1008,  240,  15, 140,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 400, 330, 240, 350
AL, 03, 2009082000,   , BEST,   0, 202N,  582W, 115,  945, HU,  50, NEQ,  105,   90,   60,   90, 1008,  240,  15, 140,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 400, 330, 240, 350
AL, 03, 2009082000,   , BEST,   0, 202N,  582W, 115,  945, HU,  64, NEQ,   75,   45,   30,   45, 1008,  240,  15, 140,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 400, 330, 240, 350
AL, 03, 2009082006,   , BEST,   0, 211N,  596W, 115,  949, HU,  34, NEQ,  200,  175,  100,  175, 1008,  240,  15, 140,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 400, 330, 240, 300
AL, 03, 2009082006,   , BEST,   0, 211N,  596W, 115,  949, HU,  50, NEQ,  105,   90,   60,   90, 1008,  240,  15, 140,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 400, 330, 240, 300
AL, 03, 2009082006,   , BEST,   0, 211N,  596W, 115,  949, HU,  64, NEQ,   75,   45,   30,   45, 1008,  240,  15, 140,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 400, 330, 240, 300
AL, 03, 2009082012,   , BEST,   0, 221N,  610W, 105,  952, HU,  34, NEQ,  225,  200,  100,  200, 1008,  240,  15, 130,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 400, 330, 240, 300
AL, 03, 2009082012,   , BEST,   0, 221N,  610W, 105,  952, HU,  50, NEQ,  120,   90,   60,  100, 1008,  240,  15, 130,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 400, 330, 240, 300
AL, 03, 2009082012,   , BEST,   0, 221N,  610W, 105,  952, HU,  64, NEQ,   90,   45,   30,   75, 1008,  240,  15, 130,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 400, 330, 240, 300
AL, 03, 2009082018,   , BEST,   0, 231N,  624W, 110,  948, HU,  34, NEQ,  225,  200,  120,  200, 1008,  240,  15, 135,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 400, 330, 240, 300
AL, 03, 2009082018,   , BEST,   0, 231N,  624W, 110,  948, HU,  50, NEQ,  130,  105,   60,  105, 1008,  240,  15, 135,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 400, 330, 240, 300
AL, 03, 2009082018,   , BEST,   0, 231N,  624W, 110,  948, HU,  64, NEQ,  100,   45,   30,   90, 1008,  240,  15, 135,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 400, 330, 240, 300
AL, 03, 2009082100,   , BEST,   0, 241N,  637W, 110,  943, HU,  34, NEQ,  225,  200,  120,  200, 1010,  240,  15, 135,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 440, 320, 350, 375
AL, 03, 2009082100,   , BEST,   0, 241N,  637W, 110,  943, HU,  50, NEQ,  130,  105,   60,  105, 1010,  240,  15, 135,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 440, 320, 350, 375
AL, 03, 2009082100,   , BEST,   0, 241N,  637W, 110,  943, HU,  64, NEQ,  100,   45,   30,   90, 1010,  240,  15, 135,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 440, 320, 350, 375
AL, 03, 2009082106,   , BEST,   0, 255N,  649W, 105,  951, HU,  34, NEQ,  250,  200,  120,  200, 1010,  240,  15, 130,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 420, 360, 300, 300
AL, 03, 2009082106,   , BEST,   0, 255N,  649W, 105,  951, HU,  50, NEQ,  130,  110,   60,  130, 1010,  240,  15, 130,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 420, 360, 300, 300
AL, 03, 2009082106,   , BEST,   0, 255N,  649W, 105,  951, HU,  64, NEQ,  100,   45,   30,   90, 1010,  240,  15, 130,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 420, 360, 300, 300
AL, 03, 2009082112,   , BEST,   0, 271N,  660W, 100,  954, HU,  34, NEQ,  250,  200,  120,  200, 1010,  240,  15, 120,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 420, 360, 300, 300
AL, 03, 2009082112,   , BEST,   0, 271N,  660W, 100,  954, HU,  50, NEQ,  130,  110,   60,  130, 1010,  240,  15, 120,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 420, 360, 300, 300
AL, 03, 2009082112,   , BEST,   0, 271N,  660W, 100,  954, HU,  64, NEQ,  100,   45,   30,   90, 1010,  240,  15, 120,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 420, 360, 300, 300
AL, 03, 2009082118,   , BEST,   0, 286N,  669W,  95,  956, HU,  34, NEQ,  240,  200,  100,  175, 1010,  240,  15, 115,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 475, 360, 350, 300
AL, 03, 2009082118,   , BEST,   0, 286N,  669W,  95,  956, HU,  50, NEQ,  100,  100,   60,  120, 1010,  240,  15, 115,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 475, 360, 350, 300
AL, 03, 2009082118,   , BEST,   0, 286N,  669W,  95,  956, HU,  64, NEQ,   75,   30,   30,   60, 1010,  240,  15, 115,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 475, 360, 350, 300
AL, 03, 2009082200,   , BEST,   0, 304N,  676W,  90,  957, HU,  34, NEQ,  240,  200,  100,  175, 1012,  240,  20, 110,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 450, 360, 380, 320
AL, 03, 2009082200,   , BEST,   0, 304N,  676W,  90,  957, HU,  50, NEQ,  100,  100,   60,  120, 1012,  240,  20, 110,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 450, 360, 380, 320
AL, 03, 2009082200,   , BEST,   0, 304N,  676W,  90,  957, HU,  64, NEQ,   75,   30,   30,   30, 1012,  240,  20, 110,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 450, 360, 380, 320
AL, 03, 2009082206,   , BEST,   0, 323N,  684W,  90,  960, HU,  34, NEQ,  240,  200,  130,  175, 1012,  240,  30, 110,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 420, 420, 540, 300
AL, 03, 2009082206,   , BEST,   0, 323N,  684W,  90,  960, HU,  50, NEQ,  100,  100,   60,   90, 1012,  240,  30, 110,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 420, 420, 540, 300
AL, 03, 2009082206,   , BEST,   0, 323N,  684W,  90,  960, HU,  64, NEQ,   75,   30,   30,   30, 1012,  240,  30, 110,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 420, 420, 540, 300
AL, 03, 2009082212,   , BEST,   0, 341N,  688W,  85,  961, HU,  34, NEQ,  240,  200,  130,  175, 1012,  240,  30, 105,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 420, 420, 500, 300
AL, 03, 2009082212,   , BEST,   0, 341N,  688W,  85,  961, HU,  50, NEQ,  100,  100,   60,   75, 1012,  240,  30, 105,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 420, 420, 500, 300
AL, 03, 2009082212,   , BEST,   0, 341N,  688W,  85,  961, HU,  64, NEQ,   75,   30,   30,   30, 1012,  240,  30, 105,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 420, 420, 500, 300
AL, 03, 2009082218,   , BEST,   0, 360N,  689W,  80,  961, HU,  34, NEQ,  240,  200,  130,  175, 1012,  240,  30, 100,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 420, 450, 540, 360
AL, 03, 2009082218,   , BEST,   0, 360N,  689W,  80,  961, HU,  50, NEQ,  100,  100,   60,   50, 1012,  240,  30, 100,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 420, 450, 540, 360
AL, 03, 2009082218,   , BEST,   0, 360N,  689W,  80,  961, HU,  64, NEQ,   75,   30,   30,   30, 1012,  240,  30, 100,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 420, 450, 540, 360
AL, 03, 2009082300,   , BEST,   0, 381N,  684W,  80,  961, HU,  34, NEQ,  240,  200,  130,  165, 1008,  210,  30,  90,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 300, 480, 360, 300
AL, 03, 2009082300,   , BEST,   0, 381N,  684W,  80,  961, HU,  50, NEQ,  100,  100,   60,   50, 1008,  210,  30,  90,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 300, 480, 360, 300
AL, 03, 2009082300,   , BEST,   0, 381N,  684W,  80,  961, HU,  64, NEQ,   75,   30,   30,   30, 1008,  210,  30,  90,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 300, 480, 360, 300
AL, 03, 2009082306,   , BEST,   0, 401N,  673W,  75,  962, HU,  34, NEQ,  250,  250,  175,  150, 1006,  210,  40,  85,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 300, 480, 360, 300
AL, 03, 2009082306,   , BEST,   0, 401N,  673W,  75,  962, HU,  50, NEQ,  100,  100,   60,   40, 1006,  210,  40,  85,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 300, 480, 360, 300
AL, 03, 2009082306,   , BEST,   0, 401N,  673W,  75,  962, HU,  64, NEQ,   75,   40,   30,   30, 1006,  210,  40,  85,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 300, 480, 360, 300
AL, 03, 2009082312,   , BEST,   0, 424N,  654W,  70,  965, HU,  34, NEQ,  250,  250,  175,  150, 1008,  210,  40,  90,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 300, 420, 360, 300
AL, 03, 2009082312,   , BEST,   0, 424N,  654W,  70,  965, HU,  50, NEQ,  100,  100,   60,   40, 1008,  210,  40,  90,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 300, 420, 360, 300
AL, 03, 2009082312,   , BEST,   0, 424N,  654W,  70,  965, HU,  64, NEQ,   75,   40,   30,   30, 1008,  210,  40,  90,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 300, 420, 360, 300
AL, 03, 2009082318,   , BEST,   0, 444N,  625W,  65,  970, HU,  34, NEQ,  250,  250,  175,  150, 1008,  210,  40,  85,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 300, 480, 420, 320
AL, 03, 2009082318,   , BEST,   0, 444N,  625W,  65,  970, HU,  50, NEQ,  100,  100,   60,   40, 1008,  210,  40,  85,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 300, 480, 420, 320
AL, 03, 2009082318,   , BEST,   0, 444N,  625W,  65,  970, HU,  64, NEQ,   50,   40,   30,   30, 1008,  210,  40,  85,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 300, 480, 420, 320
AL, 03, 2009082400,   , BEST,   0, 463N,  579W,  65,  973, HU,  34, NEQ,  225,  250,  240,  150, 1008,  245,  40,  80,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 180, 540, 660, 180
AL, 03, 2009082400,   , BEST,   0, 463N,  579W,  65,  973, HU,  50, NEQ,  100,  120,   60,   75, 1008,  245,  40,  80,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 180, 540, 660, 180
AL, 03, 2009082400,   , BEST,   0, 463N,  579W,  65,  973, HU,  64, NEQ,   50,   40,   30,   30, 1008,  245,  40,  80,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 180, 540, 660, 180
AL, 03, 2009082402,   , BEST,   0, 468N,  564W,  60,  974, TS,  34, NEQ,  225,  250,  240,  150, 
AL, 03, 2009082402,   , BEST,   0, 468N,  564W,  60,  974, TS,  50, NEQ,  100,  120,   60,   75, 
AL, 03, 2009082403,   , BEST,   0, 469N,  560W,  60,  976, TS,  34, NEQ,  225,  250,  240,  150, 
AL, 03, 2009082403,   , BEST,   0, 469N,  560W,  60,  976, TS,  50, NEQ,  100,  120,   60,   75, 
AL, 03, 2009082406,   , BEST,   0, 480N,  530W,  60,  980, TS,  34, NEQ,  225,  275,  240,  150, 1008,  245,  60,  75,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 180, 540, 660, 180
AL, 03, 2009082406,   , BEST,   0, 480N,  530W,  60,  980, TS,  50, NEQ,  100,  175,   75,   75, 1008,  245,  60,  75,   0,   L,   0,    ,   0,   0,       BILL, D, 12, NEQ, 180, 540, 660, 180
AL, 03, 2009082412,   , BEST,   0, 492N,  472W,  60,  980, EX,  34, NEQ,  225,  275,  240,  150, 
AL, 03, 2009082412,   , BEST,   0, 492N,  472W,  60,  980, EX,  50, NEQ,  100,  175,   75,   75, 
AL, 03, 2009082418,   , BEST,   0, 500N,  412W,  60,  980, EX,  34, NEQ,  225,  275,  240,  150, 
