AL, 18, 2011090618, 03, AP01,  30, 192N,  921W,  26, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP01,  36, 193N,  913W,  23, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP01,  42, 193N,  909W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP01,  48, 200N,  899W,  23, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP01,  54, 205N,  891W,  20, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP01,  60, 208N,  886W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP01,  66, 225N,  880W,  24, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP01,  72, 242N,  870W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP01,  78, 248N,  864W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP01,  84, 246N,  866W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP01,  90, 255N,  866W,  16, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP01,  96, 268N,  860W,  15, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP02,   0, 200N,  932W,  27, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP02,   6, 198N,  930W,  26, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP02,  12, 193N,  932W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP02,  18, 199N,  930W,  31, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP02,  24, 201N,  927W,  31, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
