AL, 92, 2013083112, 03, CLP5, 108, 224N,  706W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, CLP5, 120, 236N,  714W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, DSHP,   0, 150N,  540W,  25,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, DSHP,  12, 151N,  561W,  28,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, DSHP,  24, 150N,  580W,  31,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, DSHP,  36, 149N,  598W,  36,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, DSHP,  48, 147N,  614W,  42,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, DSHP,  60, 147N,  630W,  50,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, DSHP,  72, 149N,  647W,  56,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, DSHP,  84, 155N,  665W,  62,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, DSHP,  96, 164N,  685W,  66,    0, HU,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, DSHP, 108, 175N,  706W,  70,    0, HU,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, DSHP, 120, 186N,  728W,  60,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, EEMN,   0, 148N,  543W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, EEMN,  12, 148N,  567W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, EEMN,  24, 146N,  599W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, EEMN,  36, 144N,  620W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, EEMN,  48, 140N,  638W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, IVCN,   0,   0N,    0W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, IVCN,  12,   0N,    0W,  28,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, IVCN,  24,   0N,    0W,  31,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, IVCN,  36,   0N,    0W,  35,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, IVCN,  48,   0N,    0W,  40,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, IVCN,  60,   0N,    0W,  48,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, IVCN,  72,   0N,    0W,  55,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, IVCN,  84,   0N,    0W,  64,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, IVCN,  96,   0N,    0W,  71,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, IVCN, 108,   0N,    0W,  78,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, IVCN, 120,   0N,    0W,  67,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, IVCR,   0,   0N,    0W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, IVCR,  12,   0N,    0W,  28,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, IVCR,  24,   0N,    0W,  31,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, IVCR,  36,   0N,    0W,  35,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, IVCR,  48,   0N,    0W,  40,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, IVCR,  60,   0N,    0W,  48,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, IVCR,  72,   0N,    0W,  55,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, IVCR,  84,   0N,    0W,  64,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, IVCR,  96,   0N,    0W,  71,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, IVCR, 108,   0N,    0W,  78,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, IVCR, 120,   0N,    0W,  67,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, LBAR,   0, 150N,  540W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, LBAR,  12, 153N,  559W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, LBAR,  24, 157N,  580W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, LBAR,  36, 158N,  603W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, LBAR,  48, 157N,  626W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, LBAR,  60, 156N,  650W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, LBAR,  72, 155N,  674W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, LBAR,  84, 155N,  696W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, LBAR,  96, 166N,  720W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, LBAR, 108, 173N,  737W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, LBAR, 120, 181N,  750W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, LGEM,   0, 150N,  540W,  25,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, LGEM,  12, 151N,  561W,  28,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, LGEM,  24, 150N,  580W,  31,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, LGEM,  36, 149N,  598W,  34,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, LGEM,  48, 147N,  614W,  38,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, LGEM,  60, 147N,  630W,  45,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, LGEM,  72, 149N,  647W,  54,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, LGEM,  84, 155N,  665W,  66,    0, HU,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, LGEM,  96, 164N,  685W,  76,    0, HU,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, LGEM, 108, 175N,  706W,  86,    0, HU,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, LGEM, 120, 186N,  728W,  73,    0, HU,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, OCD5,   0, 150N,  540W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, OCD5,  12, 154N,  564W,  31,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, OCD5,  24, 159N,  587W,  38,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, OCD5,  36, 166N,  608W,  44,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, OCD5,  48, 173N,  630W,  49,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, OCD5,  60, 183N,  649W,  53,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, OCD5,  72, 194N,  665W,  56,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, OCD5,  84, 203N,  681W,  55,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, OCD5,  96, 213N,  695W,  57,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, OCD5, 108, 224N,  706W,  61,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, OCD5, 120, 236N,  714W,  74,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, SHF5,   0,   0N,    0W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, SHF5,  12,   0N,    0W,  31,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, SHF5,  24,   0N,    0W,  38,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, SHF5,  36,   0N,    0W,  44,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, SHF5,  48,   0N,    0W,  49,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, SHF5,  60,   0N,    0W,  53,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, SHF5,  72,   0N,    0W,  56,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, SHF5,  84,   0N,    0W,  55,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, SHF5,  96,   0N,    0W,  57,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, SHF5, 108,   0N,    0W,  61,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, SHF5, 120,   0N,    0W,  74,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, SHFR,  12,   0N,    0W,  28,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, SHFR,  24,   0N,    0W,  31,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, SHFR,  36,   0N,    0W,  34,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, SHFR,  48,   0N,    0W,  36,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, SHFR,  60,   0N,    0W,  38,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, SHFR,  72,   0N,    0W,  39,    0,   ,   0,    ,    0,    0,    0,    0, 
